,Brand,Product_Name,Price,Category
0,Fendi,FF Logo Coated Canvas & Leather Card Case,$320,Bags/Leather_Goods
1,Balenciaga,Explorer Pouch,$695,Bags/Leather_Goods
2,Balenciaga,Everyday Leather Belt Bag,"$1,250",Bags/Leather_Goods
3,Balenciaga,Explorer Leather Chain Wallet,$550,Bags/Leather_Goods
4,Balenciaga,Everyday Leather Zip-Around Wallet,$750,Bags/Leather_Goods
5,Balenciaga,Leather Zip-Around Card Case,$490,Bags/Leather_Goods
6,Fendi,FF Logo Coated Canvas & Leather Card Case,$320,Bags/Leather_Goods
7,Gucci,NY Yankees™ Leather Card Case,$320,Bags/Leather_Goods
8,Fendi,Logo-Stamp-Appliquéd Coated Canvas Billfold,$490,Bags/Leather_Goods
9,Fendi,Fendi Fiend Leather Card Case,$320,Bags/Leather_Goods
10,Balenciaga,Explorer Tablet Case,$650,Bags/Leather_Goods
11,Balenciaga,Colorblocked Backpack,"$1,590",Bags/Leather_Goods
12,Balenciaga,Arena Leather Explorer Chain Wallet,$770,Bags/Leather_Goods
13,Balenciaga,Explorer Tablet Case,$650,Bags/Leather_Goods
14,Balenciaga,Everyday Leather Belt Bag,"$1,250",Bags/Leather_Goods
15,Balenciaga,Market Shopper Leather Tote Bag,"$2,350",Bags/Leather_Goods
16,Balenciaga,Explorer Leather Belt Bag,"$1,380",Bags/Leather_Goods
17,Balenciaga,Arena Leather Explorer Belt Bag,"$1,250",Bags/Leather_Goods
18,Christian Louboutin,Explorafunk Leather & Suede Backpack,"$2,590",Bags/Leather_Goods
19,Christian Louboutin,Backloubi Leather-Trimmed Velvet Backpack,"$1,550",Bags/Leather_Goods
20,Christian Louboutin,Loubislide Leather Card Case,$280,Bags/Leather_Goods
21,Balenciaga,Explorer Backpack,"$1,050",Bags/Leather_Goods
22,Balenciaga,Explorer Belt Bag,$895,Bags/Leather_Goods
23,Christian Louboutin,Panettone Leather Wallet,$670,Bags/Leather_Goods
24,Balenciaga,Explorer Belt Bag,$850,Bags/Leather_Goods
25,Christian Louboutin,Clipsos Leather Money-Clip Billfold,$480,Bags/Leather_Goods
26,Balenciaga,Arena Leather Bazar Shopper Tote Bag,"$2,490",Bags/Leather_Goods
27,Christian Louboutin,Kios Leather Card Case,$290,Bags/Leather_Goods
28,Balenciaga,Logo Wheel Backpack,"$1,045",Bags/Leather_Goods
29,Christian Louboutin,Explorafunk Leather Backpack,"$2,590",Bags/Leather_Goods
30,Alexander McQueen,Crocodile-Stamped Leather Billfold,$365,Bags/Leather_Goods
31,Valentino Garavani,Broken Logo Leather Billfold,$475,Bags/Leather_Goods
32,Valentino Garavani,Broken-Logo Leather Card Case,$295,Bags/Leather_Goods
33,Christian Louboutin,Kios Leather Card Case,$320,Bags/Leather_Goods
34,Givenchy,MC3 Crossbody Bag,"$1,195",Bags/Leather_Goods
35,AMIRI,Beverly Hills-Print Silk Bandana Key Chain,$295,Bags/Leather_Goods
36,AMIRI,"""Hollywood"" Silk Bandana Key Chain",$295,Bags/Leather_Goods
37,AMIRI,Palm-Tree-Print Silk Bandana Key Chain,$170,Bags/Leather_Goods
38,Tumi,Alpha Bravo Hunter Satchel,$500,Bags/Leather_Goods
39,Tumi,Alpha 3 Brief Backpack,$550,Bags/Leather_Goods
40,Tumi,Alpha 3 Double Expansion Duffel,$450,Bags/Leather_Goods
41,Fendi,Snake-Print Leather Card Case,$350,Bags/Leather_Goods
42,Comme des Garçons,Diamond-Stamped Leather Zip-Around Wallet,$365,Bags/Leather_Goods
43,Tumi,Alpha 3 Slim Deluxe Portfolio,$350,Bags/Leather_Goods
44,Tumi,Alpha 3 Compact Large-Screen Laptop Briefcase,$450,Bags/Leather_Goods
45,Tumi,Alpha Bravo Nellis Backpack,$425,Bags/Leather_Goods
46,Tumi,Arrivé Sadler Briefcase,$895,Bags/Leather_Goods
47,Tumi,Arrivé Barker Backpack,$950,Bags/Leather_Goods
48,Bottega Veneta,Intrecciato Card Case,$350,Bags/Leather_Goods
49,Bottega Veneta,Intrecciato Mini-Billfold,$410,Bags/Leather_Goods
50,Bottega Veneta,Intrecciato Billfold,$460,Bags/Leather_Goods
51,Bottega Veneta,Intrecciato Card Case,$270,Bags/Leather_Goods
52,Bottega Veneta,Intrecciato Billfold,$460,Bags/Leather_Goods
53,WANT LES ESSENTIELS,Hartsfield Weekender Bag,$450,Bags/Leather_Goods
54,Bottega Veneta,Intrecciato Card Case,$350,Bags/Leather_Goods
55,Prada,Leather Billfold,$395,Bags/Leather_Goods
56,Bottega Veneta,Intrecciato Card Case,$270,Bags/Leather_Goods
57,Saint Laurent,Card Case,$255,Bags/Leather_Goods
58,Comme des Garçons,Plaid Zip Pouch,$140,Bags/Leather_Goods
59,Givenchy,Eros Zip Pouch,$420,Bags/Leather_Goods
60,Comme des Garçons,Plaid Zip Pouch,$140,Bags/Leather_Goods
61,Barneys New York,Sterling Silver Short Tie Bar,$95,Bags/Leather_Goods
62,WANT LES ESSENTIELS,O'Hare Shopper Tote,$250,Bags/Leather_Goods
63,Prada,Money Clip Billfold,$380,Bags/Leather_Goods
64,Bottega Veneta,Intrecciato Top Zip Card Case,$350,Bags/Leather_Goods
65,Bottega Veneta,Intrecciato Key Chain,$230,Bags/Leather_Goods
66,Saint Laurent,Top-Zip Pouch,$295,Bags/Leather_Goods
67,Bottega Veneta,Intrecciato Key Chain,$230,Bags/Leather_Goods
68,Bottega Veneta,Intrecciato Key Chain,$230,Bags/Leather_Goods
69,Barneys New York,Paperclip Money Clip,$150,Bags/Leather_Goods
70,Saint Laurent,Billfold,$385,Bags/Leather_Goods
71,Thom Browne,Card Case,$290,Bags/Leather_Goods
72,Comme des Garçons,Zip-Around Wallet,$325,Bags/Leather_Goods
73,Bottega Veneta,Intrecciato Card Case,$270,Bags/Leather_Goods
74,Saint Laurent,Card Case,$255,Bags/Leather_Goods
75,Comme des Garçons,Raised Spike Wallet,$215,Bags/Leather_Goods
76,Christian Louboutin,Paros Wallet,$450,Bags/Leather_Goods
77,Comme des Garçons,Plaid Zip-Around Wallet,$130,Bags/Leather_Goods
78,Saint Laurent,Zip Pouch,$295,Bags/Leather_Goods
79,WANT LES ESSENTIELS,O'Hare Shopper Tote,$250,Bags/Leather_Goods
80,Comme des Garçons,Zip Pouch,$175,Bags/Leather_Goods
81,Comme des Garçons,Plaid Coin Pocket Zip-Around Wallet,$225,Bags/Leather_Goods
82,Thom Browne,Note-Compartment Card Case,$380,Bags/Leather_Goods
83,Comme des Garçons,Channel-Stitched Zip Pouch,$100,Bags/Leather_Goods
84,Prada,Folding Card Case,$320,Bags/Leather_Goods
85,Christian Louboutin,Explorafunk Backpack,"$2,450",Bags/Leather_Goods
86,Barneys New York,Nail-Shaped Sterling Silver Key Ring,$125,Bags/Leather_Goods
87,Christian Louboutin,Panettone Wallet,$670,Bags/Leather_Goods
88,Prada,Tote Bag,$920,Bags/Leather_Goods
