,Brand,Product_Name,Price,Category
0,Moscot,Bupkes Eyeglasses,$300,Eyewear
1,Tom Ford,TF5527 Eyeglasses,$435,Eyewear
2,Moscot,Jasper Eyeglasses,$280,Eyewear
3,Tom Ford,TF5495 Eyeglasses,$385,Eyewear
4,Moscot,Bulvan Eyeglasses,$290,Eyewear
5,Barton Perreira,Alvar Eyeglasses,$560,Eyewear
6,Moscot,Groyse Eyeglasses,$290,Eyewear
7,Tom Ford,TF5504 Eyeglasses,$460,Eyewear
8,Tom Ford,TF5496 Eyeglasses,$470,Eyewear
9,Tom Ford,TF5524 Eyeglasses,$360,Eyewear
10,Tom Ford,TF5524 Eyeglasses,$360,Eyewear
11,Barton Perreira,Vashon Eyeglasses,$455,Eyewear
12,Barton Perreira,Vashon Eyeglasses,$455,Eyewear
13,Tom Ford,TF5524 Eyeglasses,$345,Eyewear
14,Tom Ford,TF5527 Eyeglasses,$435,Eyewear
15,Tom Ford,TF5518 Eyeglasses,$370,Eyewear
16,Tom Ford,TF5496 Eyeglasses,$470,Eyewear
17,Barton Perreira,Thurston Eyeglasses,$350,Eyewear
18,Moscot,Drimmel Eyeglasses,$300,Eyewear
19,Moscot,Billik Eyeglasses,$280,Eyewear
20,Tom Ford,TF5518 Eyeglasses,$370,Eyewear
21,Tom Ford,TF5505 Eyeglasses,$360,Eyewear
22,Tom Ford,TF5527 Eyeglasses,$415,Eyewear
23,Tom Ford,TF5507 Eyeglasses,$495,Eyewear
24,Tom Ford,Cecilio Eyeglasses,$415,Eyewear
25,Moscot,Yukel Eyeglasses,$290,Eyewear
26,Barton Perreira,Stax Eyeglasses,$350,Eyewear
27,Barton Perreira,Stax Eyeglasses,$350,Eyewear
28,Tom Ford,TF5496 Eyeglasses,$470,Eyewear
29,Tom Ford,TF5496 Eyeglasses,$470,Eyewear
30,Tom Ford,Cecilio Eyeglasses,$415,Eyewear
31,Barton Perreira,Tarrant Eyeglasses,$350,Eyewear
32,Barton Perreira,Tarrant Eyeglasses,$350,Eyewear
33,Barton Perreira,Vesuvio Eyeglasses,$380,Eyewear
34,Barton Perreira,Gellert Eyeglasses,$365,Eyewear
35,Barton Perreira,Eiger Eyeglasses,$365,Eyewear
36,Barton Perreira,Gellert Eyeglasses,$365,Eyewear
37,Barton Perreira,Gellert Eyeglasses,$365,Eyewear
