,Brand,Product_Name,Price,Category
0,Nick Fouquet,Martime Fur Felt Fedora,"$1,450",Hats
1,Givenchy,Logo Baseball Cap,$525,Hats
2,Givenchy,Logo Canvas Baseball Cap,$390,Hats
3,Gucci,Logo Wool Beanie,$310,Hats
4,Balenciaga,Logo Cotton Twill Baseball Cap,$450,Hats
5,Balenciaga,Cotton Twill Baseball Cap,$450,Hats
6,Nick Fouquet,Tequila Sunset Fur Felt Fedora,"$1,150",Hats
7,Junya Watanabe Man Comme des Garçons,Cotton Corduroy Baseball Cap,$160,Hats
8,Eric Javits,Home Run Baseball Cap,$150,Hats
9,The Elder Statesman,Ribbed Cashmere Hat,$325,Hats
10,Eric Javits,Home Run Baseball Cap,$150,Hats
11,Eric Javits,Home Run Baseball Cap,$150,Hats
12,Gucci,Tiger-Appliquéd Wool Beanie,$350,Hats
13,Gucci,Panther-Appliquéd Wool Beanie,$520,Hats
14,Gucci,"""Loved Gucci"" Cotton Baseball Cap",$460,Hats
15,Acne Studios,Emoji Wool Beanie,$120,Hats
16,Gucci,Roaring Tiger Beanie,$680,Hats
17,Borsalino,Marengo Large-Brim Fur Felt Fedora,$265,Hats
18,Nick Fouquet,Bandito Fur Felt Fedora,"$1,325",Hats
19,Borsalino,Alessandria Marengo Medium-Brim Rabbit Fur Felt Fedora,$265,Hats
20,Nick Fouquet,La Mort Fur Felt Fedora,"$1,225",Hats
21,Nick Fouquet,Ojo Caliente Fur Felt Fedora,"$1,225",Hats
22,Eric Javits,Home Run Baseball Cap,$140,Hats
23,Eric Javits,Home Run Baseball Cap,$150,Hats
24,Balenciaga,BB-Logo Cotton Baseball Cap,$390,Hats
25,Thom Browne,Rib-Knit Cashmere Beanie,$290,Hats
26,The Elder Statesman,Kisser Cashmere Beanie,$500,Hats
27,The Elder Statesman,Kisser Cashmere Beanie,$500,Hats
28,The Elder Statesman,Watchman Cashmere Cap,$360,Hats
29,Acne Studios,Baseball Cap,$120,Hats
30,Acne Studios,Baseball Cap,$120,Hats
31,CA4LA,Fold Wool Felt Fedora,$175,Hats
32,Nick Fouquet,Topanga Canyon Fur Felt Fedora,"$1,225",Hats
33,Nick Fouquet,Mount Helio Fur Felt Fedora,"$1,150",Hats
34,Loro Piana,Merlin Ty Logo Baseball Cap,$335,Hats
35,Givenchy,4G Logo Baseball Cap,$495,Hats
36,Nick Fouquet,The Soloist Fur Felt Fedora,"$1,400",Hats
37,Nick Fouquet,Crystal Mist Fur Felt Fedora,"$1,225",Hats
38,The Elder Statesman,Kisser Cashmere Beanie,$500,Hats
39,Nick Fouquet,Astral Smoke Fur Felt Fedora,"$1,225",Hats
40,Balenciaga,Logo-Embroidered Cotton Cap,$390,Hats
41,Balenciaga,Logo-Embroidered Cotton Cap,$450,Hats
42,Balenciaga,Logo-Embroidered Cotton Cap,$390,Hats
43,Balenciaga,Logo-Embroidered Cotton Cap,$390,Hats
44,Balenciaga,Logo-Embroidered Cotton Cap,$450,Hats
45,Albertus Swanepoel,Two-Tone Wool Beanie,$295,Hats
46,Albertus Swanepoel,Zigzag Wool Beanie,$295,Hats
47,The Elder Statesman,Cashmere Watchman Beanie,$360,Hats
48,Moncler,Logo-Patch Wool Beanie,$305,Hats
49,Moncler,Pocket-Detail Wool Beanie,$395,Hats
50,Nick Fouquet,Cuba Tornado Fur-Felt Fedora,"$1,275",Hats
51,New Era XO Barneys New York,Cotton Velvet Trucker Hat,$70,Hats
52,Loro Piana,Cashmere Beanie,$325,Hats
53,Loro Piana,Cashmere Beanie,$325,Hats
54,Balenciaga,Cotton Twill Baseball Cap,$390,Hats
55,Barneys New York,Rib-Knit Cashmere Beanie,$295,Hats
56,Fendi,"""Fendi Mania"" Coated Canvas Baseball Hat",$850,Hats
57,Moncler,Logo Patch Wool Beanie,$360,Hats
58,Barneys New York,Cashmere Melton Ivy Cap,$135,Hats
59,Balenciaga,BB-Logo Cotton Baseball Cap,$350,Hats
60,Canada Goose,Fur-Trimmed Down-Filled Aviator Hat,$325,Hats
61,Givenchy,Logo Canvas Baseball Cap,$550,Hats
62,LANDLORD,Faux-Fur Trapper Hat,$150,Hats
63,LANDLORD,Faux-Fur Trapper Hat,$150,Hats
64,LANDLORD,Faux-Fur Trapper Hat,$150,Hats
65,Givenchy,Logo Baseball Cap,$525,Hats
66,AMIRI,"""Lover"" Rib-Knit Cashmere-Wool Beanie",$325,Hats
67,Drake's,Rib-Knit Lambswool Beanie,$85,Hats
68,Canada Goose,Reversible Wool Beanie,$95,Hats
69,Canada Goose,Reversible Wool Beanie,$95,Hats
70,Nick Fouquet,Cactus Storm Fur Felt Fedora,"$1,275",Hats
71,Prada,Logo Baseball Cap,$340,Hats
72,Prada,Cotton Canvas Baseball Cap,$340,Hats
73,Eric Javits,Packable Distressed Straw Hat,$325,Hats
74,Givenchy,Logo Wool Beanie,$270,Hats
75,Gucci,GG Logo Alpaca-Wool Beanie,$340,Hats
76,Gucci,Gucci Motif Wool Beanie,$340,Hats
77,Gucci,Logo Leather & Mesh Trucker Hat,$690,Hats
78,Gucci,Logo Leather & Mesh Trucker Hat,$690,Hats
79,Barneys New York,Cashmere Baseball Cap,$145,Hats
80,Barneys New York,Cashmere Baseball Cap,$145,Hats
81,Barneys New York,Cashmere Baseball Cap,$145,Hats
82,Gucci,Logo-Elephant Mixed-Knit Wool Slouchy Beanie,$310,Hats
83,Gucci,Double-G Alpaca-Wool Beanie,$340,Hats
84,Off-White c/o Virgil Abloh,Logo Cotton Twill Baseball Cap,$225,Hats
85,Off-White c/o Virgil Abloh,"""Impressionism"" Cotton Twill Baseball Cap",$225,Hats
86,Off-White c/o Virgil Abloh,Logo Wool Beanie,$240,Hats
87,Off-White c/o Virgil Abloh,Camouflage Cotton Twill Baseball Cap,$260,Hats
88,Off-White c/o Virgil Abloh,Logo Wool Beanie,$240,Hats
89,Nick Fouquet,Machete Straw Fedora,$675,Hats
90,Moncler,Quilted-Detail Cotton Baseball Cap,$290,Hats
91,Acne Studios,Emoji Wool Beanie,$120,Hats
92,424 X Armes,Logo Bleach-Dyed Cotton Baseball Cap,$115,Hats
93,The Elder Statesman,Striped Cashmere Watchman's Cap,$355,Hats
94,The Elder Statesman,Kisser Cashmere Beanie,$505,Hats
95,The Elder Statesman,Kisser Cashmere Beanie,$505,Hats
96,The Elder Statesman,Striped Cashmere Watchman's Cap,$355,Hats
97,The Elder Statesman,Colorblocked Cashmere Watchman's Cap,$385,Hats
98,Eric Javits,Packable Distressed Straw Hat,$325,Hats
99,AMIRI,Five-Star Trucker Hat,$275,Hats
100,Barneys New York,Wool Hat,$125,Hats
101,Barneys New York,Wool Hat,$125,Hats
102,Barneys New York,Cashmere Slouchy Hat,$95,Hats
103,Barneys New York,Cashmere Slouchy Hat,$95,Hats
104,Barneys New York,Cashmere Slouchy Hat,$95,Hats
105,Barneys New York,Cashmere Slouchy Hat,$95,Hats
106,Barneys New York,Cashmere Beanie,$125,Hats
107,Gucci,NY Yankees™ Wool Beanie,$450,Hats
108,Stone Island XO Barneys New York,Corduroy Baseball Hat,$125,Hats
109,424 X Armes,Bleach-Dyed Logo Cotton Baseball Cap,$115,Hats
110,Balenciaga,Logo-Embroidered Cotton Cap,$450,Hats
111,Balenciaga,Logo-Embroidered Cotton Cap,$450,Hats
112,Nick Fouquet,Cayo Belluna Straw Fedora,$650,Hats
113,Nick Fouquet,Domino Straw Fedora,$675,Hats
114,Nick Fouquet,Buena Vista Fur Felt Fedora,"$1,325",Hats
115,Nick Fouquet,Don Jr Fur Felt Fedora,"$1,225",Hats
116,Nick Fouquet,Pepe Fanjul Straw Fedora,$625,Hats
117,Nick Fouquet,Chan Chan Straw Fedora,$625,Hats
118,Y-3,Logo Cotton Twill Baseball Cap,$80,Hats
119,Y-3,Nylon Baseball Cap,$80,Hats
120,Y-3,Logo Cotton Twill Baseball Cap,$80,Hats
121,LANDLORD,Fur-Faux Bucket Hat,$120,Hats
122,Fendi,Rib-Knit Wool Pom-Pom Beanie,$290,Hats
123,Rick Owens,Wool Beanie,$250,Hats
124,Rick Owens,Wool Beanie,$250,Hats
125,Rick Owens,Wool Beanie,$250,Hats
126,Nick Fouquet,Isla Del Tortuga Fur Felt Fedora,"$1,250",Hats
127,Lock & Co. Hatters,Pickering Rabbit Fur Felt Trilby,$550,Hats
128,Lock & Co. Hatters,Pickering Rabbit Fur Felt Trilby,$550,Hats
129,Gucci,Coated Canvas & Mesh Trucker Hat,$350,Hats
130,Y-3,Nylon Baseball Cap,$80,Hats
131,Prada,Logo Visor,$280,Hats
132,Balenciaga,Rainbow-Logo-Embroidered Cotton Cap,$495,Hats
133,Balenciaga,Gothic-Logo-Embroidered Cotton Cap,$495,Hats
134,Balenciaga,Gothic-Logo-Embroidered Cotton Cap,$495,Hats
135,Loro Piana,Wind Baseball Cap,$275,Hats
136,424 X Armes,Logo Bleach-Dyed Cotton Baseball Cap,$115,Hats
137,Givenchy,Logo Canvas Baseball Cap,$450,Hats
138,Vetements,Jersey Mask,$250,Hats
