,Brand,Product_Name,Price,Category
0,AMIRI,MX1 Slim Jeans,"$1,050",Pants
1,AMIRI,MX1 Slim Jeans,"$1,050",Pants
2,Needles,Side-Striped Velour Track Pants,$405,Pants
3,Ksubi,"""Restore Trax Desert"" Cotton Sweatpants",$180,Pants
4,Ralph Lauren Purple Label,Shantung Silk Tuxedo Trousers,$895,Pants
5,Ksubi,Van Winkle Distressed Slim Jeans,$240,Pants
6,Vetements,"""Mustermann"" Colorblocked Cotton Track Pants",$650,Pants
7,ALYX,Cotton-Blend Fleece Utility Jogger Pants,$735,Pants
8,Ralph Lauren Purple Label,Wool Twill Drawstring Pants,$695,Pants
9,Ralph Lauren Purple Label,Linen Drawstring Trousers,$395,Pants
10,Needles,Striped Jersey Track Pants,$520,Pants
11,Rick Owens,Sisy Asymmetric Denim Skirt,"$1,000",Pants
12,ALYX,Thorn Slash Skinny Jeans,$535,Pants
13,ATM Anthony Thomas Melillo,Cotton Twill Slim Trousers,$225,Pants
14,LOST DAZE,Skull-&-Dove-Appliquéd Jeans,$850,Pants
15,LOST DAZE,Metallic-Striped Neoprene Jersey Track Pants,$750,Pants
16,ALYX,Tonal-Camouflage Cotton Fleece Jogger Pants,$445,Pants
17,Neil Barrett,Cotton-Blend Parachute Pants,$840,Pants
18,Marcelo Burlon County of Milan,"""Confidencial"" Cotton French Terry Jogger Pants",$645,Pants
19,Stone Island XO Barneys New York,Patchwork Utility Jogger Pants,$370,Pants
20,Ermenegildo Zegna,Cotton-Silk Slim Sweatpants,$695,Pants
21,GmbH,Seher Mesh-Inset Ripstop Jogger Pants,$450,Pants
22,Haider Ackermann,Embroidered-Stripe Fleece Wool Slim Crop Trousers,$980,Pants
23,Acne Studios,Jabir Cotton-Blend Gabardine Flared Trousers,$380,Pants
24,Alex Mill,Cotton-Ripstop Drawstring Pants,$115,Pants
25,ALCHEMIST,Acid Ringo Distressed Jeans,$790,Pants
26,Helmut Lang,Aviator Cotton Canvas Jumpsuit,$830,Pants
27,Thom Browne,Block-Striped Tech-Twill Track Pants,"$1,100",Pants
28,Haider Ackermann,Fleece Wool Slim Crop Trousers,$812,Pants
29,Needles,Geometric-Print Silky Twill Lounge Pants,$505,Pants
30,Haider Ackermann,Embroidered-Striped Twill Trousers,"$1,624",Pants
31,Balenciaga,Tech-Jersey Slim Track Pants,$665,Pants
32,ATM Anthony Thomas Melillo,Cotton French Terry Sweatpants,$185,Pants
33,Haider Ackermann,Embroidered-Striped Fleece-Wool Trousers,$984,Pants
34,Incotex,S-Body Slim Cotton Trousers,$455,Pants
35,424,Cotton Drill Workwear Trousers,$335,Pants
36,Brioni,Slim Jeans,$725,Pants
37,Just Don,Leopard-Striped Cotton-Blend Track Pants,$850,Pants
38,Officine Générale,Wool Plain-Weave Tapered-Leg Trousers,$350,Pants
39,LOST DAZE,Glitter-Flame Jeans,"$1,200",Pants
40,Incotex,Tricochino Cotton Slim Trousers,$455,Pants
41,John Varvatos,Regular Fit Tapered Bottom Linen-Cotton Trousers,$298,Pants
42,Incotex,ChinoLino Slim Trousers,$410,Pants
43,CMMN SWDN,Worsted Wool Pleated-Front Trousers,$365,Pants
44,Incotex,Cotton-Blend Slim Chinos,$410,Pants
45,John Varvatos Star U.S.A.,Lenny Cotton Skinny Trousers,$168,Pants
46,Marco Pescarolo,Chiaia Washed Cotton Pleated Drawstring Trousers,$495,Pants
47,Incotex,S-Body Slim Cotton-Blend Trousers,$410,Pants
48,Y/Project,Worsted Wool Split-Side Trousers,$945,Pants
49,Balmain,Colorblocked Cotton Biker Jogger Pants,$950,Pants
50,Just Don,Logo Tear-Away Track Pants,$850,Pants
51,Rag & Bone,Fit 2 Cotton Slim Trousers,$225,Pants
52,Givenchy,Logo-Print Drawstring Pants,"$1,120",Pants
53,AMIRI,MX Cargo Pants,"$1,250",Pants
54,Rag & Bone,Fit 1 Extra-Slim Jeans,$250,Pants
55,Balmain,Skinny Tuxedo Trousers,"$1,350",Pants
56,Balenciaga,Embellished Grained Moto Skinny Jeans,"$4,000",Pants
57,Just Don,Logo Satin Tear-Away Track Pants,$850,Pants
58,AIMÉ LEON DORE,Striped Tech-Knit Track Pants,$225,Pants
59,AMIRI,Bruise Distressed Skinny Jeans,$990,Pants
60,AMIRI,MX1 Bandana-Inset Slim Jeans,"$1,050",Pants
61,Jil Sander,Twill Crop Trousers,$690,Pants
62,AMIRI,Broken Painter Skinny Track Jeans,$890,Pants
63,Barneys New York,Cotton Slim Trousers,$275,Pants
64,PT05,Cotton Canvas Trousers,$395,Pants
