,Brand,Product_Name,Price,Category
0,Drake's,Dog-Print Wool-Silk Scarf,$265,Scarves
1,Drake's,Striped Scarf,$185,Scarves
2,Barneys New York,Staffa Plus Cashmere-Silk Scarf,$325,Scarves
3,Drake's,Striped Wool-Silk Scarf,$265,Scarves
4,Colombo,Pinstriped Cashmere-Silk Flannel Scarf,"$1,050",Scarves
5,Colombo,Striped Cashmere-Silk Flannel Scarf,"$1,050",Scarves
6,Barneys New York,Plaid Cotton Plain-Weave Scarf,$195,Scarves
7,Barneys New York,Bandana-Print Cotton Scarf,$250,Scarves
8,Barneys New York,Linen-Cotton Scarf,$195,Scarves
9,Barneys New York,Striped Plain-Weave Scarf,$225,Scarves
10,Paul Smith,Polka Dot Voile Scarf,$125,Scarves
11,Bigi,Paisley Cotton-Blend Scarf,$295,Scarves
12,From The Road,Vana Mélange Slub Linen-Blend Scarf,$245,Scarves
13,Paul Smith,Multi-Striped Silk Twill Scarf,$195,Scarves
14,Bigi,Floral Flannel Scarf,$275,Scarves
15,From The Road,Vana Mélange Slub Linen-Blend Scarf,$245,Scarves
16,Bigi,Double-Sided Slub Linen Scarf,$250,Scarves
17,Bigi,Geometric-Floral Cotton Scarf,$275,Scarves
18,From The Road,Cira Striped Linen Gauze Scarf,$225,Scarves
19,Paul Smith,Crystal Silk Twill Scarf,$195,Scarves
20,Bigi,Double-Sided Linen Scarf,$250,Scarves
21,Bigi,Double-Sided Linen Scarf,$250,Scarves
22,Lovat & Green,Spiral-Print Cotton Scarf,$165,Scarves
23,Lovat & Green,Geometric-Print Cotton Scarf,$150,Scarves
24,Barneys New York,Wispy Cashmere Scarf,$395,Scarves
25,Drake's,Dog-Print Wool-Silk Scarf,$265,Scarves
26,Colombo,Mélange Linen Scarf,$530,Scarves
27,Colombo,Plaid Cashmere-Silk Flannel Scarf,"$1,050",Scarves
28,Colombo,Slub Linen Gauze Scarf,$530,Scarves
29,Drake's,Dot-Print Scarf,$385,Scarves
