,Brand,Product_Name,Price,Category
0,Fioroni,Cotton Chambray Shirt,$350,Shirts
1,Barneys New York,Floral Cotton Dress Shirt,$265,Shirts
2,Rag & Bone,Fit 3 Plaid Cotton Flannel Shirt,$225,Shirts
3,AMIRI,Gradient Plaid Cotton-Blend Flannel Shirt,$650,Shirts
4,Boglioli,Slub-Weave Linen Shirt,$325,Shirts
5,Sartorio,Gingham Cotton Button-Down Shirt,$450,Shirts
6,Barba,Plaid Linen Shirt,$350,Shirts
7,Sartorio,Cotton Chambray Dress Shirt,$450,Shirts
8,Greg Lauren,Plaid Cotton Flannel Studio Shirt,$650,Shirts
9,Off-White c/o Virgil Abloh,"""Monalisa"" Checked Cotton-Blend Twill Shirt",$780,Shirts
10,Thom Browne,Block-Striped Cotton Chambray Shirt,$480,Shirts
11,Jil Sander,Photo-Print Shirt,$880,Shirts
12,Hartford,Linen Button-Down Shirt,$210,Shirts
13,Ermenegildo Zegna,Checked Linen-Cotton Shirt,$395,Shirts
14,Ermenegildo Zegna,Checked Linen-Cotton Shirt,$395,Shirts
15,Hartford,Linen Button-Down Shirt,$210,Shirts
16,Barba,Linen Linen Cavalry Twill Shirt,$350,Shirts
17,Sartorio,Hairline-Striped Cotton Button-Down Shirt,$450,Shirts
18,Officine Générale,Denim-Effect Button-Front Shirt,$265,Shirts
19,Hartford,Slub Linen Shirt,$210,Shirts
20,Just Don,Leopard Jacquard Button-Front Shirt,$650,Shirts
21,Kiton,Flamingo-Embroidered Cotton Shirt,$895,Shirts
22,The Row,Johnny Suede Shirt Jacket,"$4,650",Shirts
23,John Varvatos Star U.S.A.,Flint Dot-Print Cotton Shirt,$98,Shirts
24,John Varvatos Star U.S.A.,Ashten Plaid Cotton Shirt,$148,Shirts
25,Barneys New York,Cotton Poplin Shirt,$295,Shirts
26,Comme des Garçons SHIRT,Embroidered-Face Silky Twill Short-Sleeve Shirt,$625,Shirts
27,John Varvatos Star U.S.A.,Marshall Selvedge Denim Shirt,$198,Shirts
28,John Varvatos Star U.S.A.,Darren Selvedge-Denim Work Shirt,$228,Shirts
29,John Elliott,Floral Twill Bowling Shirt,$358,Shirts
30,Kiton,Dot-Embroidered Chambray Shirt,$595,Shirts
31,John Varvatos Star U.S.A.,Trent Fil Coupé Cotton Shirt,$148,Shirts
