,Brand,Product_Name,Price,Category
0,HECHO,Silk Organza Drawstring Shorts,$265,Shorts
1,Rick Owens,Tyrone Patchwork Denim Shorts,$780,Shorts
2,Satisfy,Paint-Splattered Compression Shorts,$435,Shorts
3,ATM Anthony Thomas Melillo,Striped Cotton French Terry Shorts,$225,Shorts
4,Greg Lauren,Mixed-Media Cotton Cargo Shorts,$750,Shorts
5,ATM Anthony Thomas Melillo,Cotton Piqué Drawstring Shorts,$125,Shorts
6,JACQUEMUS,Linen-Blend Canvas Painter Shorts,$375,Shorts
7,Just Don,Leopard-Inset Cotton-Blend Basketball Shorts,$575,Shorts
8,Officine Générale,Mosaic-Print Basket-Weave Drawstring Shorts,$265,Shorts
9,John Varvatos Star U.S.A.,Linen-Blend Flat-Front Shorts,$128,Shorts
10,Just Don,Tie-Dyed Silk Satin Basketball Shorts,$575,Shorts
11,John Varvatos Star U.S.A.,Linen-Blend Flat-Front Shorts,$128,Shorts
12,Just Don,Logo Satin Boxing Shorts,$575,Shorts
13,Thom Browne,Block-Striped Terry Sweatshorts,$690,Shorts
14,Kenzo,"""Médaillons"" Colorblocked Shorts",$240,Shorts
15,Prabal Gurung,Floral-Jacquard Gauze Basketball Shorts,$695,Shorts
16,Acne Studios,Rosso Cotton Cargo Shorts,$250,Shorts
17,Stone Island,Logo-Patch Cotton Drawstring Sweatshorts,$220,Shorts
18,Off-White c/o Virgil Abloh,"""Monalisa"" Cotton French Terry Shorts",$415,Shorts
19,OAMC,Logo Paint-Splatter-Print Cotton Shorts,$560,Shorts
20,Palm Angels,Tie-Dyed Cotton Sweatshorts,$475,Shorts
21,KATHARINE HAMNETT LONDON,Lucien Organic Cotton Drawstring Shorts,$170,Shorts
22,Rick Owens DRKSHDW,Cotton Ripstop Drop-Rise Shorts,$650,Shorts
23,Gucci,Logo Laminated-Tech-Jersey Shorts,"$1,380",Shorts
24,Rick Owens DRKSHDW,Cotton Drop-Rise Drawstring Shorts,$635,Shorts
25,Onia,Tom Slub Linen Cargo Shorts,$130,Shorts
26,JACQUEMUS,Button-Detailed Linen-Blend Shorts,$450,Shorts
27,Martine Rose,Long Motocross Shorts,"$1,080",Shorts
28,John Elliott,Tie-Dyed Mesh Basketball Shorts,$248,Shorts
29,Ovadia & Sons,"""Not Fade Away"" Tie-Dyed Sweatshorts",$250,Shorts
30,Ovadia & Sons,Belted Cotton Ripstop Cargo Shorts,$260,Shorts
31,FUMITO GANRYU,Tech-Fabric Drawstring Shorts,$570,Shorts
32,FILA,Lamotta Striped Velour Drawstring Shorts,$140,Shorts
33,Acne Studios,Richard Cotton Oversized Shorts,$240,Shorts
34,Alex Mill,Tropical-Camouflage Cotton Ripstop Shorts,$95,Shorts
35,Givenchy,Logo-Striped Denim Shorts,$640,Shorts
