,Brand,Product_Name,Price,Category
0,AMIRI,Striped Wool-Blend Chenille Oversized Cardigan,"$1,190",Sweaters
1,Acne Studios,Nalon Wool Sweater,$300,Sweaters
2,Gucci,Fair Isle- & GG-Pattern Wool Sweater,"$1,200",Sweaters
3,Givenchy,Logo-Knit Wool Sweater,$740,Sweaters
4,Comme des Garçons,Colorblocked Wool Oepn-Front Sweater,$855,Sweaters
5,ATM Anthony Thomas Melillo,Striped Cotton Crewneck Sweater,$295,Sweaters
6,John Varvatos Star U.S.A.,Marled Cotton-Blend Zip-Front Sweater,$248,Sweaters
7,LOST DAZE,Desert-Intarsia Cotton-Cashmere Cardigan,$950,Sweaters
8,Thom Browne,Whale Cotton Cardigan,"$1,390",Sweaters
9,CALVIN KLEIN 205W39NYC,"""Jaws"" English Rib-Knit Oversized Sweater","$1,200",Sweaters
10,CALVIN KLEIN 205W39NYC,Blood-Droplet Wool-Cotton Sweatervest,$790,Sweaters
11,Balenciaga,Embroidered-Logo Terry Hoodie,$968,Sweaters
12,Balmain,Striped Logo-Jacquard Sweater,"$1,195",Sweaters
13,Gucci,Tiger-Graphic Metallic Wool-Blend Sweater,"$1,500",Sweaters
14,OAMC,Fringe Colorblocked Cotton Oversized Sweater,"$1,415",Sweaters
15,Prada,Jacquard Tweed Sweater,$840,Sweaters
16,Barneys New York,Honeycomb-Knit Cotton Shawl-Collar Cardigan,$315,Sweaters
17,Barneys New York,Cable-Knit Cotton Sweater,$295,Sweaters
18,Barneys New York,Oversized Cotton Sweater,$295,Sweaters
19,Barneys New York,Cotton-Alpaca Jacquard Sweater,$275,Sweaters
20,Rag & Bone,Lance Cotton Crewneck Sweater,$250,Sweaters
21,Rag & Bone,Stockton Embroidered Cotton-Blend V-Neck Sweater,$295,Sweaters
22,Balenciaga,Logo-Jacquard Wool-Blend Sweater,"$1,190",Sweaters
23,CALVIN KLEIN 205W39NYC,Button-Shoulder Striped Wool Sweater,$990,Sweaters
24,Balenciaga,Mixed-Stitch Wool-Cotton Oversized Sweater,"$1,790",Sweaters
25,Comme des Garçons SHIRT,"""Live Free"" V-Neck Cardigan",$285,Sweaters
26,Ermenegildo Zegna,Casheta Light Cashmere-Silk V-Neck Sweater,$825,Sweaters
27,Fendi,Monster Cotton Sweater,$770,Sweaters
28,Lanvin,Wrinkled Fine-Gauge Knit Sweater,$595,Sweaters
29,ATM Anthony Thomas Melillo,Chenille Sweater,$295,Sweaters
30,Raf Simons,Metallic-Diamond Intarsia-Knit Cutout Sweater,$725,Sweaters
31,Gucci,GG-Jacquard Wool-Cotton Cardigan,"$1,800",Sweaters
32,Gucci,GG-Jacquard Wool-Cotton Sweater,"$1,100",Sweaters
33,Gucci,Chain-Link & Web Striped Cotton-Blend Sweater Vest,"$1,300",Sweaters
34,Barneys New York,Wool Polo Sweater,$375,Sweaters
35,Barneys New York,Textured-Knit Cotton V-Neck Sweater,$465,Sweaters
36,Maison Margiela,Sheer Mesh Turtleneck Sweater,$940,Sweaters
37,Gucci,NY Yankees™ Alpaca-Wool Cardigan,"$2,200",Sweaters
38,Barneys New York,Cashmere Quarter-Zip Sweater,$550,Sweaters
