,Brand,Product_Name,Price,Category
0,Ermenegildo Zegna,Medallion-Print Silk Satin Necktie,$195,Ties/Pocket_Squares
1,Ermenegildo Zegna,Medallion-Print Silk Satin Necktie,$195,Ties/Pocket_Squares
2,Ermenegildo Zegna,Medallion-Print Silk Satin Necktie,$195,Ties/Pocket_Squares
3,Simonnot Godard,Chevron-Striped Cotton Pocket Square,$75,Ties/Pocket_Squares
4,Ermenegildo Zegna,Textured Silk-Linen Necktie,$195,Ties/Pocket_Squares
5,Ermenegildo Zegna,Polka Dot Silk Necktie,$195,Ties/Pocket_Squares
6,Ermenegildo Zegna,Medallion-Print Silk Satin Necktie,$195,Ties/Pocket_Squares
7,Paul Smith,Polka Dot Silk Necktie,$125,Ties/Pocket_Squares
8,Thom Browne,Striped Wool-Cotton Necktie,$190,Ties/Pocket_Squares
9,Thom Browne,Striped Silk-Cotton Necktie,$220,Ties/Pocket_Squares
10,Paul Smith,Polka Dot Silk Necktie,$125,Ties/Pocket_Squares
11,Thom Browne,Striped Wool-Cotton Necktie,$190,Ties/Pocket_Squares
12,Thom Browne,Striped Silk-Cotton Necktie,$210,Ties/Pocket_Squares
13,Thom Browne,Striped Silk-Cotton Necktie,$210,Ties/Pocket_Squares
14,Thom Browne,Striped Silk Necktie,$215,Ties/Pocket_Squares
15,Barneys New York,Paisley Silk Twill Ascot,$125,Ties/Pocket_Squares
16,Barneys New York,Paisley Silk Twill Ascot,$125,Ties/Pocket_Squares
17,Drake's,Textured Silk Necktie,$165,Ties/Pocket_Squares
18,Drake's,Textured Wool-Silk Necktie,$165,Ties/Pocket_Squares
19,Barneys New York,Floral Silk Twill Ascot,$125,Ties/Pocket_Squares
20,Barneys New York,Paisley Silk Twill Ascot,$125,Ties/Pocket_Squares
21,Salvatore Ferragamo,Palm-Tree-Print Silk Twill Necktie,$190,Ties/Pocket_Squares
22,Barneys New York,Floral-Dot Silk Twill,$125,Ties/Pocket_Squares
23,Barneys New York,Paisley Silk Twill Ascot,$125,Ties/Pocket_Squares
24,Drake's,Textured Silk Necktie,$165,Ties/Pocket_Squares
25,Drake's,Paisley Silk Faille Necktie,$165,Ties/Pocket_Squares
26,Barneys New York,Paisley Silk Twill Ascot,$125,Ties/Pocket_Squares
27,Barneys New York,Floral-Dot Silk Twill Ascot,$125,Ties/Pocket_Squares
