,Brand,Product_Name,Price,Category
0,Acne Studios,Logo Cotton French Terry Hoodie,$340,Tops
1,Off-White c/o Virgil Abloh,Logo Twisted Cotton Terry Sweatshirt,$560,Tops
2,Comme des Garçons PLAY,Heart Striped Cotton T-Shirt,$165,Tops
3,Givenchy,Logo-Print Distressed Cotton Sweatshirt,"$1,020",Tops
4,Gucci,City- & Logo-Print Cotton Hoodie,"$1,350",Tops
5,Barneys New York,Cashmere Zip-Front Hoodie,$385,Tops
6,Off-White c/o Virgil Abloh,Logo-Print Cotton Terry Sweatshirt,$560,Tops
7,Balenciaga,Logo Cotton T-Shirt,$350,Tops
8,Comme des Garçons PLAY,Heart Cotton Terry Hoodie,$325,Tops
9,Stone Island,Logo-Patch Cotton Hoodie,$315,Tops
10,Heron Preston,Embroidered Cotton Fleece Hoodie,$555,Tops
11,Madeworn,"""Grateful Dead"" Tie-Dyed Cotton T-Shirt",$175,Tops
12,Ksubi,Slub Cotton T-Shirt,$70,Tops
13,Comme des Garçons,Slashed Perforated Mesh T-Shirt,$220,Tops
14,Rag & Bone,Jersey Baseball T-Shirt,$195,Tops
15,LOST DAZE,Skull-Graphic Cotton Fleece Sweatshirt,$650,Tops
16,Sacai,Dr. Woo Rose-&-Arrow Cotton T-Shirt,$200,Tops
17,GmbH,Birk Logo Cotton Jersey T-Shirt,$275,Tops
18,Ksubi,Washed Cotton French Terry Hoodie,$160,Tops
19,Comme des Garçons,Fringe Raschel-Mesh T-Shirt,$290,Tops
20,HECHO,Reverse Stretch-Cotton Terry T-Shirt,$355,Tops
21,Ksubi,Dollar-Sign-Logo Cotton Long-Sleeve T-Shirt,$100,Tops
22,Maison Margiela,"""M""-Embroidered Cotton Terry Oversized Hoodie",$995,Tops
23,Paul Smith,"""Paradise"" Cotton French Terry Hoodie",$395,Tops
24,Ksubi,Kodeine Distressed Cotton T-Shirt,$80,Tops
25,Madeworn,"""Janis Joplin"" Cotton T-Shirt",$175,Tops
26,Ksubi,Faded Cotton T-Shirt,$90,Tops
27,Madeworn,"""Grateful Dead"" Tie-Dyed Cotton T-Shirt",$175,Tops
28,Madeworn,"""Grateful Dead"" Tie-Dyed Cotton-Blend Sweatshirt",$225,Tops
29,Comme des Garçons SHIRT,"""Boys"" Logo Striped Cotton T-Shirt",$265,Tops
30,GmbH,Dan Logo Cotton Terry Hoodie,$540,Tops
31,GmbH,Cotton Terry Harness Hoodie,$675,Tops
32,Madeworn,"""Bob Marley"" Chevron-Weave Baja Hoodie",$600,Tops
33,Ksubi,Drug-Star Cotton T-Shirt,$90,Tops
34,Madeworn,"""Grateful Dead"" Distressed Cotton T-Shirt",$195,Tops
35,ATM Anthony Thomas Melillo,Cotton French Terry Zip-Front Hoodie,$225,Tops
36,Madeworn,"""The Notorious B.I.G."" Distressed Cotton T-Shirt",$175,Tops
37,PS by Paul Smith,Dinosaur-Print Organic Cotton T-Shirt,$95,Tops
38,ALYX,"""Endless"" Cotton-Blend T-Shirt",$165,Tops
39,Officine Générale,Slub Linen Jersey T-Shirt,$140,Tops
40,Madeworn,"""Bob Marley"" Distressed Cotton-Blend Sweatshirt",$225,Tops
41,Ksubi,"""North Of Nirvana"" Cotton French Terry Sweatshirt",$180,Tops
42,ATM Anthony Thomas Melillo,Striped Slub Cotton T-Shirt,$150,Tops
43,Maison Margiela,"""Hello Sailor"" Cotton T-Shirt",$440,Tops
44,Maison Margiela,"""L'Amour"" Lace-Appliquéd Cotton T-Shirt",$465,Tops
45,Ksubi,"""Archadia Desert"" Cotton Zip-Front Hoodie",$180,Tops
46,John Elliott,Cotton Crewneck T-Shirt,$98,Tops
47,Paul Smith,"""Paul's Photo"" Cotton T-Shirt",$295,Tops
48,Madeworn,Distressed Graphic Cotton T-Shirt,$175,Tops
49,John Elliott,Cotton Crewneck T-Shirt,$98,Tops
50,ATM Anthony Thomas Melillo,Contrast-Trimmed Cotton Piqué T-Shirt,$95,Tops
51,ATM Anthony Thomas Melillo,Slub Cotton T-Shirt,$58,Tops
52,Needles,Butterfly-Embroidered Jersey Tank,$345,Tops
53,ATM Anthony Thomas Melillo,Slub Cotton T-Shirt,$80,Tops
54,ATM Anthony Thomas Melillo,Striped Cotton French Terry Hoodie,$295,Tops
55,ATM Anthony Thomas Melillo,Slub Cotton T-Shirt,$80,Tops
56,Alex Mill,Striped Slub Cotton T-Shirt,$45,Tops
57,ATM Anthony Thomas Melillo,Slub Cotton V-Neck T-Shirt,$80,Tops
58,ATM Anthony Thomas Melillo,Slub Cotton T-Shirt,$58,Tops
59,Comme des Garçons SHIRT,Graphic Polka Dot Cotton T-Shirt,$150,Tops
60,Martine Rose,Striped Cotton Oversized T-Shirt,$195,Tops
