,Brand,Product_Name,Price,Category
0,Burberry,TB Small Leather Shoulder Bag,"$2,450",Bags
1,Fontana Milano 1915,Chelsea Small Leather Saddle Bag,"$2,975",Bags
2,Delvaux,Brillant MM Leather Satchel,"$6,850 - $7,100",Bags
3,Barneys New York,Circular-Handle Leather Tote Bag,$395,Bags
4,Prada,Vela Camera Bag,"$1,420",Bags
5,Chloé,Initial C Small Crocodile-Stamped Leather Shoulder Bag,"$1,690",Bags
6,LOEWE,Gate Grid Small Leather Shoulder Bag,"$2,250",Bags
7,Balenciaga,BB Leather Chain Wallet,"$1,090",Bags
8,Balenciaga,Ville Small Leather Bowling Bag,"$2,290",Bags
9,Balenciaga,Ville Day Leather Crossbody Bag,"$1,590",Bags
10,Burberry,Small Leather Belt Bag,"$1,990",Bags
11,The Row,Margaux 10 Leather Satchel,"$2,900",Bags
12,Off-White c/o Virgil Abloh,Binder-Clip Small Leather Crossbody Bag,"$1,170",Bags
13,LOEWE,Flamenco Knot Grid Leather Tote Bag,"$2,350",Bags
14,LOEWE,Woven Leather & Suede Tote Bag,"$2,990",Bags
15,Delvaux,Tempête Micro-Satchel,"$2,600",Bags
16,Saint Laurent,Monogram Lou Medium Leather Crossbody Bag,"$1,150",Bags
17,Sonia Rykiel,Le Baltard Medium Leather Tote Bag,$830,Bags
18,Saint Laurent,Monogram Lou Medium Leather Crossbody Bag,$995,Bags
19,The Row,Velvet Wristlet,"$1,590",Bags
20,LOEWE,Hammock Medium Leather Bag,"$2,450",Bags
21,Saint Laurent,Monogram Lou Leather Belt Bag,$995,Bags
22,Chloé,Faye Mini Leather & Suede Bag,$890,Bags
23,Fendi,ABClick Chain Wallet,$700,Bags
24,Saint Laurent,Monogram Kate Medium Leather Chain Bag,"$1,990",Bags
25,Chloé,Mini Leather Satchel,"$1,990",Bags
26,Ulla Johnson,Pomme Wicker Crossbody Bag,$295,Bags
27,GILES X ASPINAL,Mini Trunk Leather Clutch Bag,$875,Bags
28,MM6 Maison Margiela,Triangle Bag,$195,Bags
29,Saint Laurent,Monogram Large Leather Shoulder Bag,"$2,590",Bags
30,Fendi,Kan I Mini Shoulder Bag,"$2,350",Bags
31,Barneys New York,Frayed Tote,$195,Bags
32,Saint Laurent,Monogram Kate Velvet Chain Wallet,"$1,690",Bags
33,Balenciaga,BB Medium Quilted Velour Shoulder Bag,"$1,890",Bags
34,Balenciaga,Arena Leather Classic City Small Bag,"$2,300",Bags
35,Chloé,Leather & Suede Shoulder Bag,"$1,190",Bags
36,Fendi,Small Leather Wallet,$490,Bags
37,Montunas,Stelis Mini Bag,$350,Bags
38,Barneys New York,Frayed Small Tote Bag,$135,Bags
39,Balenciaga,Everyday Extra-Extra-Small Leather Tote Bag,"$1,250",Bags
40,Barneys New York,Mink Fur Wristlet Bucket Bag,$695,Bags
41,Valentino Garavani,Rockstud Spike Medium Denim Shoulder Bag,"$2,675",Bags
42,Saint Laurent,Toy Leather Shopping Tote Bag,$995,Bags
43,Lanvin,JL Mini Suede Crossbody Bag,"$1,295",Bags
44,Mark Cross,Murphy Small Leather Bucket Bag,"$2,395",Bags
45,Soeur,Vendredi Raffia Tote Bag,$150,Bags
46,Wandler,Luna Suede Shoulder Bag,$810,Bags
47,Sonia Rykiel,Le Baltard Leather Bucket Bag,$750,Bags
48,Givenchy,Charm Snakeskin Crossbody Bag,"$3,850",Bags
49,Chloé,Faye Medium Leather Shoulder Bag,"$1,950",Bags
50,Paco Rabanne,Iconic Leather Chain Bag,"$1,890",Bags
51,Balenciaga,Everyday XS Leather Camera Bag,$950,Bags
52,Stalvey,Beauty Case 1.7 Lizard Shoulder Bag,"$5,800",Bags
53,Mansur Gavriel,Leather Mini Bucket Bag,$610,Bags
54,LOEWE,Elephant Leather Crossbody Bag,"$1,290",Bags
55,HEIMAT-ATLANTICA,Shella X Mini Satchel,$430,Bags
56,Paco Rabanne,Mini Cage Bucket Bag,$860,Bags
57,Mark Cross,Grace Small Suede Box,"$2,295",Bags
58,Fendi,Kan I Leather Shoulder Bag,"$3,250",Bags
59,Chloé,Roy Small Leather Bucket Bag,"$1,890",Bags
60,Off-White c/o Virgil Abloh,Mini Leather Crossbody Bag & Scarf,"$1,100",Bags
61,Saint Laurent,Monogram Kate Medium Leather Chain Bag,"$1,990",Bags
62,Saint Laurent,Teddy Leather-Trimmed Linen Tote Bag,"$1,890",Bags
63,J.W.Anderson,Bike Small Leather & Canvas Shoulder Bag,"$1,380",Bags
64,LOEWE,Gate Leather Satchel,"$2,990",Bags
65,Saint Laurent,Monogram Sunset Crocodile-Stamped Leather Satchel,"$2,550",Bags
66,Moreau Paris,Brégançon Crocodile Zip Tote Bag,"$24,000",Bags
67,Saint Laurent,Kate Small Bamboo Chain Bag,"$3,990",Bags
68,Barneys New York,Slim Leather Wallet,$125,Bags
69,Altuzarra,Espadrille Large Striped Leather Tote Bag,"$1,395",Bags
70,LOEWE,Gate Small Leather Shoulder Bag,"$2,350",Bags
71,Fontana Milano 1915,"""A Bike"" Convertible Leather Satchel","$4,460",Bags
72,Alaïa,Small Square Leather Tote Bag,"$2,480",Bags
73,Dries Van Noten,Crocodile-Stamped Leather Chain Bag,"$1,415",Bags
74,Fontana Milano 1915,Wight Medium Calf Hair Saddle Bag,"$3,550",Bags
75,Delvaux,Brillant MM Leather Satchel,"$5,450",Bags
76,Paco Rabanne,14#01 Leather Mini Bucket Bag,"$1,250",Bags
77,Tomasini,Stratoss Satchel,"$2,110",Bags
78,Alaïa,Bucket Bag,"$3,570",Bags
79,Givenchy,Pandora Pepe Small Leather Messenger Bag,"$1,750",Bags
80,Stalvey,Top-Handle 2.0 Mini Alligator Satchel,"$11,500",Bags
81,Fendi,Chain Wallet,"$1,450",Bags
82,Mark Cross,Grace Small Python Box,"$4,000",Bags
83,J.W.Anderson,Logo Mini Leather Crossbody Bag,$850,Bags
84,Sophie Anderson,Meylin Crossbody Bag,$490,Bags
85,Mark Cross,Downtown Leather Shoulder Bag,"$1,995",Bags
86,Balenciaga,Logo Leather Everyday Backpack,"$1,450",Bags
87,Bienen-Davis,The Kit Wristlet & Chain Pouch,"$1,995",Bags
88,Chloé,Leather Card Case,$295,Bags
89,J.W.Anderson,Disc Leather & Suede Satchel,"$1,990",Bags
90,Saint Laurent,Monogram Leather Card Case,$275,Bags
91,Dries Van Noten,Crcodile-Embossed Leather Small Crossbody Bag,$725,Bags
92,Barneys New York,Striped Jute-Blend Canvas Tote Bag,$150,Bags
93,Barneys New York,Frayed Small Tote Bag,$135,Bags
94,Barneys New York,Fringed Denim Tote Bag,$165,Bags
95,The Row,Double-Circle Leather Extra-Large Bag,"$2,690",Bags
96,Prada,Leather-Trimmed Messenger Bag,"$1,950",Bags
97,Christian Louboutin,Paloma Leather & Suede Chain Clutch,"$2,190",Bags
98,MARGE SHERWOOD,"""Vintage Brick"" Crocodile-Stamped Leather Shoulder Bag",$525,Bags
99,MARGE SHERWOOD,Vintage Brick Crocodile-Stamped Leather Shoulder Bag,$525,Bags
100,MARGE SHERWOOD,"""Vintage Brick"" Crocodile-Stamped Leather Shoulder Bag",$525,Bags
101,MARGE SHERWOOD,Vava Transformer Leather Shoulder Bag,$475,Bags
102,Sonia Rykiel,Le Copain Medium Sequined Chain Shoulder Bag,$880,Bags
103,MARGE SHERWOOD,Pump Crocodile-Stamped Leather Bag,$465,Bags
104,MARGE SHERWOOD,"""Vintage Brick"" Crocodile-Stamped Leather Shoulder Bag",$525,Bags
105,MARGE SHERWOOD,How Leather Bucket Bag,$400,Bags
106,Maison Margiela,Zaino Reflective Calendar Backpack,"$1,190",Bags
107,Balenciaga,Everyday Logo Leather Card Case,$370,Bags
108,Balenciaga,Everyday Logo Leather Card Case,$370,Bags
109,Balenciaga,Arena Leather Classic City Mini Bag,"$1,935",Bags
110,Balenciaga,Arena Leather Classic City Small Bag,"$2,300",Bags
111,Balenciaga,Arena Leather Bazar Extra-Small Shopper Tote Bag,"$1,790",Bags
112,Balenciaga,Everyday Logo Leather Card Case,$370,Bags
113,Balenciaga,Everyday Logo Leather Pouch,$705,Bags
114,Balenciaga,Arena Leather Classic City Mini Bag,"$1,935",Bags
115,Balenciaga,Arena Leather Classic City Small Bag,"$2,160",Bags
116,Balenciaga,Ville Large Leather Pouch,$825,Bags
117,Balenciaga,Arena Leather Classic City Small Bag,"$2,160",Bags
118,Balenciaga,Everyday Logo Leather Card Case,$350,Bags
119,Balenciaga,Everyday Medium Leather Pouch,$705,Bags
120,Prada,Leather Billfold,$390,Bags
121,Prada,Vela Crossbody Bag,$650,Bags
122,Prada,Vela Leather-Trimmed Backpack,"$1,100",Bags
123,Prada,Leather Card Case,$240,Bags
124,Prada,Leather-Trimmed Small Pouch,$220,Bags
125,Prada,Medium Leather Zip Wallet,$580,Bags
126,Prada,Vela Leather-Trimmed Backpack,"$1,250",Bags
127,Prada,Leather-Trimmed Small Bucket Bag,$360,Bags
128,Prada,Daino Small Leather Shoulder Bag,"$1,790",Bags
129,Prada,Zip-Around Leather Wallet,$580,Bags
130,Prada,Logo Leather Wallet,$390,Bags
131,Prada,Zip-Around Leather Wallet,$595,Bags
132,Prada,Logo Leather Wallet,$390,Bags
133,Prada,Daino Leather Tote Bag,"$1,990",Bags
134,FiveSeventyFive,Bungee Bucket Bag,$125,Bags
135,FiveSeventyFive,Straw Satchel,$125,Bags
136,MANA,"""XO"" Raffia Belt Bag",$275,Bags
137,Saint Laurent,Monogram Vicky Leather Wallet,$895,Bags
138,Jerome Dreyfuss,Clic Clac Large Metallic Crinkled Leather Clutch,$260,Bags
139,Wandler,Luna Leather Shoulder Bag,$810,Bags
140,Wandler,Hortensia Mini Leather Shoulder Bag,$850,Bags
141,Wandler,Hortensia Medium Leather Shoulder Bag,$920,Bags
142,Wandler,Al Leather Shoulder Bag,"$1,110",Bags
143,Chloé,Marcie Leather Belt Bag,$750,Bags
144,Delvaux,Brillant MM Leather Satchel,"$6,400",Bags
145,Chloé,Initial C Leather Tote Bag,"$1,490",Bags
146,Saint Laurent,Talitha Medium Leather Bucket Bag,"$1,950",Bags
147,Chloé,Panier Raffia Tote Bag,"$1,290",Bags
148,Chloé,Initial C Leather Tote Bag,"$1,490",Bags
149,Chloé,Marcie Leather Belt Bag,$750,Bags
150,Saint Laurent,Monogram Leather Chain Wallet,"$1,650",Bags
151,Off-White c/o Virgil Abloh,Binder-Clip Small Leather-Trimmed Crossbody Bag,"$1,170",Bags
152,Off-White c/o Virgil Abloh,Canvas Tote Bag,"$1,070",Bags
153,Saint Laurent,Monogram Lou Medium Denim Crossbody Bag,"$1,950",Bags
154,Off-White c/o Virgil Abloh,Mini Leather Crossbody Bag,$945,Bags
155,Saint Laurent,Talitha Medium Leather Bucket Bag,"$1,950",Bags
156,Saint Laurent,Monogram Vicky Leather Camera Bag,"$2,150",Bags
157,Balenciaga,Everyday Leather Card Case,$350,Bags
158,Delvaux,Brillant Mini Leather Satchel,"$4,350",Bags
159,MARGE SHERWOOD,Pump Crocodile-Stamped Leather Bag,$465,Bags
160,Maison Margiela,Zaino Reflective Calendar Backpack,"$1,190",Bags
161,MARGE SHERWOOD,Pump Crocodile-Stamped Leather Bag,$465,Bags
162,MARGE SHERWOOD,Vava Transformer Leather Shoulder Bag,$475,Bags
163,Isabel Marant,Wardy Denim Shopper Tote Bag,$990,Bags
164,Isabel Marant,Noomi Colorblocked Belt Bag,$535,Bags
165,Isabel Marant,Noomi Belt Bag,$535,Bags
166,Balenciaga,Ville Day Small Leather Crossbody Bag,"$1,590",Bags
167,Balenciaga,Everyday Extra-Small Leather Camera Bag,"$1,150",Bags
168,Balenciaga,Arena Leather Bazar Extra-Extra-Small Shopper Tote,"$1,550",Bags
169,Balenciaga,Everyday Extra-Small Leather Camera Bag,"$1,150",Bags
170,Balenciaga,Arena Leather Supermarket Shopper Tote Bag,$995,Bags
171,Balenciaga,Triangle Extra-Small Duffel Bag,"$1,790",Bags
172,Balenciaga,Arena Leather Supermarket Shopper Tote Bag,$995,Bags
173,Balenciaga,Ville Large Leather Pouch,$825,Bags
174,Balenciaga,Everyday Small Tote Bag,"$1,350",Bags
175,Balenciaga,Ville Small Leather Bowling Bag,"$2,290",Bags
176,Balenciaga,Ville Mini Leather Bowling Bag,"$1,790",Bags
177,Balenciaga,Everyday Extra-Extra-Small Leather Tote Bag,$995,Bags
178,Balenciaga,Everyday Logo Leather Pouch,$705,Bags
