,Brand,Product_Name,Price,Category
0,Sies Marjan,Helena Cutout Crepe Asymmetric Dress,"$2,300",Dresses
1,Dolce & Gabbana,Maiolica-Print Cotton Tiered Dress,"$2,895",Dresses
2,A_PLAN_APPLICATION,Cotton Terry T-Shirt Dress,$440,Dresses
3,Françoise,Patchwork Balloon-Sleeve Dress,"$2,715",Dresses
4,Brock Collection,Orley Dupioni Peplum Slipdress,"$1,900",Dresses
5,Sacai,Colorblocked Plissé Asymmetric Dress,"$1,350",Dresses
6,RAQUEL DINIZ,Alice Floral Silk Minidress,"$1,195",Dresses
7,J. Mendel,Embellished Colorblocked Silk Plissé Cocktail Dress,"$6,490",Dresses
8,Cedric Charlier,Floral Twill Midi-Dress,$815,Dresses
9,Co,Bib-Front Maxi Dress,$995,Dresses
10,Balenciaga,Watercolor Logo-Jacquard Silk Asymmetric Dress,"$3,300",Dresses
11,Dries Van Noten,Painted-Floral Satin Shift Dress,"$1,150",Dresses
12,Ulla Johnson,Floral Silk-Blend Gown,"$1,295",Dresses
13,Fendi,Floral-Embellished Tulle Dress,"$10,200",Dresses
14,Icons,Floral Chiffon Wrap Dress,$595,Dresses
15,Jil Sander,Gelsomino Crepe Shirtdress,"$1,740",Dresses
16,byTiMo,Striped Georgette V-Neck Maxi Dress,$425,Dresses
17,Dolce & Gabbana,Floral-Print Cotton Lace-Up Dress,"$1,995",Dresses
18,Prada,Geometric-Print Silk Shift Dress,"$3,120",Dresses
19,Warm,Sunday Dot-Floral Silk Jacquard Midi-Dress,$850,Dresses
20,Fendi,Embellished Perforated Piqué Midi-Dress,"$2,890",Dresses
21,Isabel Marant,Paisley Chiffon Minidress,"$1,270",Dresses
22,Isabel Marant,Galia Gauze Minidress,"$1,210",Dresses
23,Colovos,Cotton Chambray Belted Shirtdress,$675,Dresses
24,MM6 Maison Margiela,Cutout Striped Cotton Poplin Shirtdress,$530,Dresses
25,Valentino,Logo-Print Silk Dress,"$3,490",Dresses
26,Tomorrowland,Striped Cotton Poplin Belted Shirtdress,$360,Dresses
27,Ulla Johnson,Wilona Denim Dress,$375,Dresses
28,Prabal Gurung,Striped Silk-Blend Fil Coupé Maxi Dress,"$3,195",Dresses
29,Helmut Lang,Strappy Satin Slipdress,$550,Dresses
