,Brand,Product_Name,Price,Category
0,FILUHATS,Batu Tara Straw Hat,$450,Hats
1,Jennifer Ouellette,Cotton-Blend Cloque Beret,$225,Hats
2,Albertus Swanepoel,St. Croix Straw Hat,$425,Hats
3,Albertus Swanepoel,Claire Straw Hat,$295,Hats
4,Albertus Swanepoel,Moreau Cotton Tulle Bucket Hat,$250,Hats
5,Albertus Swanepoel,Laguna Straw Hat,$225,Hats
6,Albertus Swanepoel,Banff Mali-Print Cotton Bucket Hat,$225,Hats
7,Albertus Swanepoel,Alek Straw Hat,$350,Hats
8,FiveSeventyFive,Cotton Twill Bucket Hat,$95,Hats
9,FiveSeventyFive,Striped Cotton-Blend Twill Bucket Hat,$95,Hats
10,FiveSeventyFive,Straw Boater,$185,Hats
11,House of Lafayette,Galagos Straw Hat,$345,Hats
12,House of Lafayette,Reed Sink Straw Hat,$485,Hats
13,House of Lafayette,Billy Bob Straw Hat,$565,Hats
14,Eugenia Kim,Maddox Angora-Blend Beanie,$275,Hats
15,Eugenia Kim,Harlowe Straw Fedora,$515,Hats
16,Eugenia Kim,Brigitte Boater Hat,$325,Hats
17,Eugenia Kim,Vicky Woven Visor,$165,Hats
18,Eugenia Kim,Sabrina Chauffeur Cap,$295,Hats
19,Eugenia Kim,Mirabel Satin-Bow Straw Hat,$495,Hats
20,Eugenia Kim,Carter Metallic Leather Beret,$295,Hats
21,Eugenia Kim,Vicky Woven Visor,$255,Hats
22,Eugenia Kim,Sunny Straw Sun Hat,$425,Hats
23,Lola Hats,Corto Maltese Corduroy Chauffeur Cap,$225,Hats
24,Lola Hats,Bullseye Fur-Felt Fedora,$425,Hats
25,Lola Hats,Winter Tunnel Wool Cap,$215,Hats
26,Balenciaga,Logo-Knit Wool-Blend Beanie,$270,Hats
27,Albertus Swanepoel,Brant Faux-Fur-Trimmed Wool Trapper Hat,$350,Hats
28,Prada,Rib-Knit Wool Beanie,$310,Hats
29,Janessa Leone,Suzanne Straw Hat,$190,Hats
30,Janessa Leone,Beatrice Straw Hat,$190,Hats
31,Lola Hats,Classic Chauffeur Wool and Leather Cap,$195,Hats
