,Brand,Product_Name,Price,Category
0,2 MONCLER 1952,Chouette Down-Quilted Puffer Jacket,"$1,250",Jackets
1,Nili Lotan,Classon Virgin Wool Single-Button Blazer,$795,Jackets
2,Army by Yves Salomon,Fur-Trimmed & Fur-Lined Down Puffer Jacket,"$2,450",Jackets
3,Canada Goose,North Shore Down Reversible Bomber Jacket,$795,Jackets
4,Balmain,Wool Double-Breasted Blazer,"$2,395",Jackets
5,Moncler,Agate Puffer Jacket,$995,Jackets
6,Fendi,Logo Denim & Velvet One-Button Blazer,"$2,890",Jackets
7,A.L.C.,Grant Leopard-Print Shearling Jacket,"$1,895",Jackets
8,Balmain,Velvet Double-Breasted Blazer,"$2,650",Jackets
9,Balmain,Wool Canvas Double-Breasted Blazer,"$2,195",Jackets
10,Rag & Bone,Nyx Dot Jacquard Double-Breasted Blazer,$695,Jackets
11,Barneys New York,Leopard-Print Mink Jacket,"$6,500",Jackets
12,Pas de Calais,Checked Wool Hopsack Blazer,$558,Jackets
13,Barneys New York,Frayed-Edge Tweed Jacket,"$1,295",Jackets
14,Mr & Mrs Italy,Saline Fur-Trimmed Canvas Mini-Parka,"$2,320",Jackets
15,The Row,Essentials Schoolboy Jacket,"$1,325",Jackets
16,Fendi,Checked Wool-Blend One-Button Blazer,"$3,390",Jackets
17,CALVIN KLEIN 205W39NYC,Checked Wool Two-Button Blazer,"$1,800",Jackets
18,Fendi,"""Fendi Mania"" Reversible Shearling Jacket","$7,200",Jackets
19,The Row,Essentials Schoolboy Jacket,"$1,325",Jackets
20,Regulation Yohji Yamamoto,Cotton Canvas Hooded Parka,"$1,280",Jackets
21,Fendi,Plaid Wool Double-Breasted Blazer,"$3,390",Jackets
22,The Row,Beaded Long Vest,"$12,900",Jackets
23,Moncler,Corenna Cheetah-Print Jacket,$830,Jackets
24,Moncler,Maglione Bouclé Bomber Jacket,$900,Jackets
25,Barneys New York,Cotton-Blend Tweed Two-Button Blazer,"$1,295",Jackets
26,Moncler,Ghany Tech-Taffeta Puffer Vest,$575,Jackets
27,Fendi,Fur-Trimmed Wool Vest,"$3,590",Jackets
28,Alice Archer,Frances Embroidered Silk Kimono,"$2,410",Jackets
29,Denim x Alexander Wang,Daze Denim Oversized Jacket,$450,Jackets
30,FRAME,Classic Velvet One-Button Blazer,$575,Jackets
31,Versace,Logo Mania Denim Crop Jacket,"$1,350",Jackets
32,Juan Carlos Obando,Washed Satin Long Robe,$850,Jackets
33,Army by Yves Salomon,Fur-Trimmed & -Lined Bomber Jacket,"$2,030",Jackets
34,Stutterheim Raincoats,Stenhamra Raincoat,$170,Jackets
35,Saint Laurent,Ribbon-Trimmed Corduroy Blazer,"$3,290",Jackets
36,Barneys New York,Cotton-Blend Tweed Jacket,"$1,395",Jackets
37,BLAZÉ MILANO,Everyday Wool Melton Double-Breasted Blazer,"$1,785",Jackets
38,LILLY e VIOLETTA,Michaela Fox Fur Cape,"$4,500",Jackets
39,Acne Studios,Lotta Leather Moto Jacket,"$2,000",Jackets
40,CALVIN KLEIN 205W39NYC,Leather Moto Jacket,"$2,800",Jackets
41,Moncler,Agate Down Puffer Jacket,$995,Jackets
42,Nili Lotan,Morrison Leather Blazer,"$1,595",Jackets
43,Altuzarra,Indiana Virgin Wool Double-Breasted Blazer,"$1,595",Jackets
44,Barneys New York,Leather Moto Jacket,$795,Jackets
45,CALVIN KLEIN 205W39NYC,Plaid Wool-Silk Double-Breasted Blazer,"$2,400",Jackets
46,Officine Générale,Pinstriped Wool Flannel Blazer,$740,Jackets
47,Officine Générale,Valerie Velvet Sleeveless One-Button Blazer,$625,Jackets
48,GRLFRND,Cara Crop Trucker Jacket,$258,Jackets
49,Barneys New York,Wool-Blend Double-Breasted Jacket,$995,Jackets
50,Icons,Distressed Denim Jacket,$395,Jackets
51,Regulation Yohji Yamamoto,Basket-Weave Linen Drawstring Vest,"$1,470",Jackets
52,Prada,Feather & Silk Jacket,"$4,110",Jackets
53,Acne Studios,Lambskin Moto Jacket,"$1,650",Jackets
54,Forte Dei Marmi Couture,Tokyo Embellished Denim Jacket,$598,Jackets
55,BLAZÉ MILANO,Essentials Wool Double-Breasted Blazer,"$1,785",Jackets
56,D-ANTIDOTE,Logo Colorblocked Track Jacket,$395,Jackets
57,Dolce & Gabbana,Nickerbocker Cotton-Blend Blazer,"$3,375",Jackets
58,Rick Owens,Blistered-Leather Naska Biker Jacket,"$2,355",Jackets
59,Alice Archer,Elfrieda Embroidered Silk Kimono,"$3,195",Jackets
60,Prada,Tech-Twill Anorak,"$1,360",Jackets
61,Alberta Ferretti,Sequin-Embellished Track Jacket,"$1,495",Jackets
62,Moncler,Bell-Sleeve Jacket,$845,Jackets
63,Derek Lam 10 Crosby,Toby Denim Trucker Jacket,$395,Jackets
64,Alice Archer,Embroidered Silk Kimono,"$2,860",Jackets
65,Isabel Marant Étoile,Igora Plaid Wool-Blend One-Button Blazer,$575,Jackets
66,Alberta Ferretti,Sequin-Embellished Track Jacket,"$1,495",Jackets
67,Rag & Bone,Windsor Crepe Jacket,$495,Jackets
68,CALVIN KLEIN 205W39NYC,Wool Gabardine Double-Breasted Blazer,"$1,900",Jackets
69,Rick Owens,Egon Blistered Leather Crop Bomber Jacket,"$1,985",Jackets
70,Alberta Ferretti,Sequin-Embellished Track Jacket,"$1,495",Jackets
71,Paco Rabanne,Tech-Satin Bomber Jacket,"$1,150",Jackets
72,Balenciaga,Logo-Back Tech-Fabric Oversized Raincoat,"$1,990",Jackets
73,Lisa Perry,Snazzy Metallic Leather Jacket,"$1,450",Jackets
74,Rick Owens,Knit-Sleeve Blistered-Leather Jacket,"$2,355",Jackets
75,Lisa Perry,Snazzy Coated Cotton-Blend Trucker Jacket,$895,Jackets
76,Moncler,Aralia Tech-Twill Down Bomber Jacket,"$1,895",Jackets
77,BLAZÉ MILANO,Essentials Wool Double-Breasted Blazer,"$1,785",Jackets
78,L'Agence,Denim Celine Jacket,$290,Jackets
79,Acne Studios,"""Mock"" Leather Moto Jacket","$1,550",Jackets
80,LILLY e VIOLETTA,Striped Mink Fur Jacket,"$8,870",Jackets
81,LILLY e VIOLETTA,Striped Mink Fur Bomber Jacket,"$8,540",Jackets
82,R13,Wool-Blend Two-Button Boyfriend Blazer,"$1,395",Jackets
83,GRLFRND,Daria Embroidered Denim Jacket,$448,Jackets
84,J. Mendel,Sequined-Back Fur Vest,"$3,900",Jackets
85,The Row,Essentials Two-Button Schoolboy Jacket,"$1,325",Jackets
86,Dolce & Gabbana,Logo-Striped Leopard-Print Crepe Track Jacket,"$1,275",Jackets
87,Rick Owens,Classic Biker Jacket,"$2,100",Jackets
88,Barneys XO Colombo,Cashmere-Silk Two-Button Blazer,"$2,600",Jackets
89,Denim x Alexander Wang,Daze Hooded Denim Trucker Jacket,$495,Jackets
90,Barneys New York,Leather Moto Jacket,$895,Jackets
91,Saint Laurent,Wool Piqué Crop Blazer,"$3,490",Jackets
92,J. Mendel,Fur & Sequined Vest,"$3,900",Jackets
93,Philosophy di Lorenzo Serafini,Wool-Blend Double-Breasted Blazer,"$1,395",Jackets
94,Pas de Calais,Layered Wool-Blend Blazer,$558,Jackets
95,Rick Owens,Classic Biker Leather Jacket,"$2,615",Jackets
96,LILLY e VIOLETTA,Christine Mink Vest,"$5,300",Jackets
97,Rick Owens,Blistered Suede Bomber Jacket,"$2,410",Jackets
98,Saint Laurent,Wool Gabardine Two-Button Jacket,"$2,890",Jackets
99,Moncler,Lliane Down Tech-Taffeta Vest,$500,Jackets
100,Rick Owens,Embellished Blistered Leather Biker Jacket,"$3,475",Jackets
101,Moncler,Ruffled-Hem Down-Quilted Vest,$595,Jackets
102,Balenciaga,Leather Moto Jacket,"$4,600",Jackets
103,Moncler,Lliane Down Tech-Taffeta Vest,$500,Jackets
104,R13,Abu Camouflage Cotton Field Jacket,$795,Jackets
105,Moncler,Ruffled-Hem Down-Quilted Vest,$860,Jackets
106,Moncler,Periclase Down Tech-Taffeta Jacket,"$1,250",Jackets
107,L'Agence,Victoria Cotton Field Jacket,$375,Jackets
108,Balenciaga,Graffiti-Print Denim Oversized Jacket,"$2,090",Jackets
109,The Row,Essentials Nolbon Leather Jacket,"$2,990",Jackets
110,Dries Van Noten,Peacock-Pattern Jacquard Bomber Jacket,"$1,590",Jackets
111,Balenciaga,Logo Denim Jacket,"$1,295",Jackets
112,Forte Dei Marmi Couture,Faux-Fur-Lined Denim Crop Jacket,$895,Jackets
113,Rag & Bone,Club Wool Jacket,$495,Jackets
114,L'Agence,Patton Leather Double-Breasted Blazer,"$1,295",Jackets
115,The Row,Essentials Anasta Jacket,"$2,790",Jackets
116,Officine Générale,W375 Wool Two-Button Blazer,$595,Jackets
117,Barneys New York,Frayed-Edge Tweed Jacket,"$1,195",Jackets
118,Officine Générale,Lydia Jacquard Kimono Jacket,"$1,425",Jackets
119,Versace,Reversible Graphic Cotton-Silk Jacket,"$3,675",Jackets
120,The Row,Marcy Mink Fur Cape,"$10,760",Jackets
121,Philosophy di Lorenzo Serafini,Twill Double-Breasted Blazer,"$1,295",Jackets
122,Barneys New York,Leather Moto Jacket,$795,Jackets
123,Barneys New York XO Jennifer Meyer,Denim Jacket,$350,Jackets
124,Rick Owens,Leather Biker Jacket,"$2,265",Jackets
125,Barneys New York XO Jennifer Meyer,Crop Moto Jacket,$850,Jackets
126,Opening Ceremony,Reversible Hooded Silk Track Jacket,$525,Jackets
127,Prabal Gurung,Crepe Bell-Sleeve One-Button Blazer,"$1,795",Jackets
128,Barneys New York,Wool Two-Button Blazer,$995,Jackets
129,Alice Archer,Gianna Embroidered Silk Satin Robe,"$3,640",Jackets
130,Alice Archer,Embroidered Silk Satin Robe,"$3,080",Jackets
131,Palm Angels,Tech-Jersey Crop Track Jacket,$480,Jackets
132,Ksubi,Dame Denim Oversized Trucker Jacket,$400,Jackets
133,L'Agence,Karina Denim Jacket,$375,Jackets
134,LoboRosa,Micos Monkey-&-Floral Satin Robe,$275,Jackets
135,LoboRosa,Palomino Parrot-&-Palm-Tree-Print Satin Robe,$275,Jackets
136,Saint Laurent,Gradient Fox-Fur Coat,"$9,990",Jackets
137,L'Agence,Zuma Studded Denim Crop Jacket,$425,Jackets
138,LoboRosa,Granada Pomegranate-&-Floral Satin Robe,$295,Jackets
139,Barneys XO Colombo,Cashmere-Silk Fitted Blazer,"$2,600",Jackets
140,NSF,Neil Quilted Tech-Fabric Bomber Jacket,$395,Jackets
141,Dolce & Gabbana,Turlington Crepe Blazer,"$1,895",Jackets
142,A.L.C.,Cotton Corduroy Crop Trucker Jacket,$345,Jackets
143,Rag & Bone,Ridley Wool Blazer,$550,Jackets
144,Alberta Ferretti,Garden-Print Velvet Belted Blazer,"$2,195",Jackets
145,KALMANOVICH,Star-Motif Sequined Blazer,$750,Jackets
146,Juan Carlos Obando,Velvet Shawl Lapel Robe,"$1,295",Jackets
147,Prada,Logo Shearling Moto Jacket,"$6,660",Jackets
148,Zero + Maria Cornejo,Beetle Shrug Cotton-Blend Jacket,$795,Jackets
149,Herno,Fox-Fur-Trimmed Down-Quilted Jacket,$995,Jackets
150,Herno,Fox-Fur-Trimmed Down Short Puffer Jacket,$975,Jackets
151,Herno,Down Crop Puffer Jacket With Gloves,$625,Jackets
152,Herno,Down Short Puffer Jacket,$675,Jackets
153,Area,Flora Ruffled Stretch-Twill Double-Breasted Blazer,"$1,270",Jackets
154,Icons,Satin Robe Coat,$595,Jackets
155,OSMAN,Tabby Cotton Velvet One-Button Blazer,"$1,130",Jackets
156,Opening Ceremony,Houndstooth Cotton-Blend Ruffled Blazer,$495,Jackets
157,Rag & Bone,Lexington Wool One-Button Blazer,$495,Jackets
158,Ksubi,Chillz Distressed Denim Jacket,$215,Jackets
159,Alice Archer,Harmony Floral Silk Long Kimono,"$2,660",Jackets
160,Moncler,Ghany Tech-Taffeta Puffer Vest,$575,Jackets
161,R13,Kent Faux-Shearling-Lined Oversized Denim Jacket,$995,Jackets
162,R13,Abu Distressed Leopard-Print Cotton Jacket,$645,Jackets
163,R13,Leopard-Print Velvet Two-Button Boyfriend Blazer,"$1,295",Jackets
164,Saint Laurent,Leather & Shearling Asymmetric-Zip Jacket,"$5,990",Jackets
165,Saint Laurent,Embellished Wool-Cashmere Long Two-Button Blazer,"$15,000",Jackets
166,Saint Laurent,Leather Double-Breasted Trench Coat,"$6,190",Jackets
167,Rick Owens,Mink-Fur-Trimmed Blistered Leather Biker Jacket,"$3,590",Jackets
168,BLAZÉ MILANO,Everyday Velvet-Trimmed Birdseye Wool Blazer,"$1,855",Jackets
169,Prada,Tech-Gabardine Hooded Jacket,"$1,840",Jackets
170,3x1,Bijou Chain-Detail Denim Jacket,$495,Jackets
171,A.L.C.,Quincy Sequined Blazer,$645,Jackets
172,Herno,Down Crop Puffer Jacket With Gloves,$625,Jackets
173,Heron Preston,Logo Insulated Jacket,"$1,225",Jackets
174,Barneys New York,Virgin Wool Two-Button Blazer,$995,Jackets
175,The Row,Zora Wool-Cashmere Double-Breasted Jacket,"$4,090",Jackets
176,L'Agence,Kenzie Crepe Double-Breasted Blazer,$595,Jackets
177,L'Agence,Taryn Houndstooth-Plaid Silk Double-Breasted Blazer,$650,Jackets
178,Sies Marjan,Harlyn Belted Lamb Shearling Jacket,"$2,995",Jackets
179,Derek Lam 10 Crosby,Checked Wool-Blend Flannel Two-Button Blazer,$495,Jackets
180,Saint Laurent,Leather-Trimmed Alpaca-Fur Cape,"$8,990",Jackets
181,The Row,Stanta Crop Leather Jacket,"$2,750",Jackets
182,Regulation Yohji Yamamoto,Cotton-Blend Ripstop Crop Jacket,"$1,330",Jackets
183,Regulation Yohji Yamamoto,Ripstop Long Vest,"$1,330",Jackets
184,Moncler,Caille Metallic Puffer Coat,"$1,595",Jackets
185,Ace & Jig,Brooke Checked & Striped Cotton Jacket,$310,Jackets
186,Ace & Jig,Reversible Geometric-Pattern Cotton Jacket,$598,Jackets
187,3x1,Oversized Denim Jacket,$375,Jackets
188,Valentino,Studded Puffer Coat,"$2,980",Jackets
189,Thom Browne,Frayed Wool Tweed Jacket,"$2,100",Jackets
190,Thom Browne,Classic Two-Tone Wool Three-Button Blazer,"$2,290",Jackets
191,Rick Owens,Padded Blistered-Leather Biker Jacket,"$2,305",Jackets
192,Thom Browne,Block-Striped Wool-Blend Tweed Two-Button Blazer,"$2,500",Jackets
193,Juan Carlos Obando,Washed Satin Long Robe,$895,Jackets
194,Barneys XO Colombo,Cashmere-Silk Fitted Three-Button Blazer,"$2,600",Jackets
195,Raquel Allegra,Satin-Trimmed Silk Robe Jacket,$795,Jackets
196,Lanvin,Satin-Trimmed Wool Double-Breasted Blazer,"$2,995",Jackets
197,Palm Angels,Logo Velour Track Jacket,$550,Jackets
198,HIRAETH,Blaise Faux-Leather Moto Jacket,"$1,540",Jackets
199,Barneys New York,Striped Fox Fur & Leather Bomber Jacket,"$2,750",Jackets
200,Helmut Lang,Denim Trucker Jacket,$435,Jackets
201,Helmut Lang,Denim Trucker Jacket,$470,Jackets
202,Canada Goose,HyBridge Perren Down-Quilted Jacket,$775,Jackets
203,Masscob,Marion Velvet Double-Breasted Crop Blazer,$600,Jackets
204,NSF,Rusty Cotton Corduroy Hooded Jacket,$395,Jackets
205,Current/Elliott,The Shaina Leather Biker Jacket,"$1,198",Jackets
206,Current/Elliott,Animal-Print Denim Jacket,$328,Jackets
