,Brand,Product_Name,Price,Category
0,MOUSSY VINTAGE,Velma Skinny Jeans,$325,Jeans
1,MOUSSY VINTAGE,Lindsay High-Rise Skinny Jeans,$360,Jeans
2,Jordache,Slim Straight Jeans,$265,Jeans
3,MOUSSY VINTAGE,Velma Skinny Jeans,$325,Jeans
4,MOUSSY VINTAGE,Nelson Distressed Tapered Jeans,$340,Jeans
5,GRLFRND,Helena Straight Crop Jeans,$228,Jeans
6,Moussy,Velma Distressed Skinny Jeans,$325,Jeans
7,RE/DONE,High Rise Stovepipe Jeans,$250,Jeans
8,R13,Alison Skinny Jeans,$365,Jeans
9,MOUSSY VINTAGE,Mayer High-Rise Straight Jeans,$360,Jeans
10,R13,Kate Skinny Jeans,$345,Jeans
11,FRAME,Le High Straight Jeans,$210,Jeans
12,Jordache,Slim Straight Jeans,$320,Jeans
13,Rag & Bone,Elton High-Rise Skinny Jeans,$225,Jeans
14,MOUSSY VINTAGE,Rebirth High-Rise Skinny Jeans,$290,Jeans
15,R13,Kick Fit Crop Jeans,$345,Jeans
16,RE/DONE,Leandra Crop Flared Levi's® Jeans,$348,Jeans
17,Rag & Bone,Dre Capri Jeans,$195,Jeans
18,FRAME,Le Boy Straight Jeans,$230,Jeans
19,RE/DONE,Double Needle Crop Jeans,$240,Jeans
20,FRAME,Le High Straight Jeans,$200,Jeans
21,3x1,W3 High Rise Straight Authentic Crop Jeans,$275,Jeans
22,FRAME,Le Color Skinny Jeans,$185,Jeans
23,J Brand,Nastasha Sky High Skinny Jeans,$248,Jeans
24,RE/DONE,High Rise Crop Flare Levi's® Jeans,$320,Jeans
25,FRAME,Le Nouveau Straight Jeans,$220,Jeans
26,Rag & Bone,High Rise Ankle Skinny Distressed Jeans,$225,Jeans
27,J Brand,Maria High-Rise Skinny Jeans,$190,Jeans
28,Rag & Bone,High Rise Ankle Skinny Jeans,$195,Jeans
29,FRAME,Le Skinny De Jeanne Jeans,$215,Jeans
30,Rag & Bone,Dre Capri Jeans,$225,Jeans
