,Brand,Product_Name,Price,Category
0,The Row,Thilde Ankle-Slit Crop Trousers,$550,Pants
1,Nili Lotan,Jenna Cotton Twill Crop Pants,$325,Pants
2,Nili Lotan,"""French Military"" Crop Leather Pants","$1,495",Pants
3,Alberta Ferretti,Sequin-Embellished Track Pants,"$1,295",Pants
4,Derek Lam,Checked Wide-Leg Flared Trousers,"$1,250",Pants
5,The Row,Brina Wool-Blend High-Waist Trousers,"$1,190",Pants
6,VIS Ā VIS,Leather Crop Kick Flare Pants,"$1,050",Pants
7,Philosophy di Lorenzo Serafini,Leopard-Print Velvet Flared Crop Trousers,$550,Pants
8,RE/DONE,Camouflage Crop Cargo Pants,$250,Pants
9,Raquel Allegra,Checked Cotton Crop Trousers,$425,Pants
10,Forte Dei Marmi Couture,Striped Wool-Blend & Denim High-Rise Pants,$595,Pants
11,Area,Drew Leather Crop Flare Pants,"$1,250",Pants
12,ATM Anthony Thomas Melillo,Cotton Slim Cargo Pants,$295,Pants
13,Rag & Bone,Nyx Dot Jacquard Trousers,$450,Pants
14,A.L.C.,Fallon Cotton Twill Wide-Leg Trousers,$345,Pants
15,Acne Studios,Plaid Cotton-Blend Wide-Leg Trousers,$480,Pants
16,Nili Lotan,Kiki Cotton Crop Jogger Pants,$245,Pants
17,Nili Lotan,Cotton Twill Crop Pants,$375,Pants
18,Dries Van Noten,Cotton Twill Slim Pants,$545,Pants
19,Nili Lotan,East Hampton Cotton Pants,$345,Pants
20,Isabel Marant,Nila Cotton-Blend Crop Flared Pants,$615,Pants
21,Nili Lotan,Esmae Linen Wide-Leg Pants,$425,Pants
22,Palm Angels,Tech-Jersey Track Pants,$440,Pants
23,Palm Angels,Rainbow-Striped Track Pants,$495,Pants
24,PT01,Worsted Wool Foldover Culottes,$475,Pants
25,Lisa Perry,Piqué Crop Flared Pants,$450,Pants
26,Lisa Perry,Ponte-Knit Crop Flared Pants,$450,Pants
27,SPRWMN,Stretch-Leather Flared Crop Pants,$975,Pants
28,Heron Preston,Logo-Camouflage Tech-Taffeta Track Pants,$685,Pants
29,PT01,Elsa Cotton Flared Trousers,$425,Pants
30,Dries Van Noten,Cotton Twill Slim Pants,$545,Pants
31,Dries Van Noten,Cotton Poplin Pleated Trousers,$550,Pants
32,ATM Anthony Thomas Melillo,Silk Satin Cuffed Trousers,$295,Pants
33,Marine Serre,Moon-Print Footed Leggings,$515,Pants
34,Marine Serre,Moon-Print Footed Leggings,$515,Pants
35,J Brand,Kyrah Cotton-Blend Straight Belted Trousers,$248,Pants
36,Nili Lotan,Jenna Cotton Twill Crop Pants,$325,Pants
37,OSMAN,Felix Sequined Tiered-Flounce Pants,"$2,435",Pants
38,Saint Laurent,Wrinkled Velvet Cigarette Pants,"$1,290",Pants
39,Denim x Alexander Wang,Denim & Tech-Canvas Jogger Pants,$325,Pants
40,Derek Lam,Gingham Cotton-Blend Flared Pants,$890,Pants
41,R13,Leopard-Print Cotton Utility Pants,$395,Pants
42,alexanderwang.t,Compact Knit Wool-Blend Slim-Straight Pants,$395,Pants
43,Mason's,Cherry-Print Cotton Cargo Pants,$295,Pants
44,PT01,Matilde Washed Satin Wide-Leg Trousers,$445,Pants
45,Current/Elliott,Dallas Cotton-Blend Fleece Sweatpants,$198,Pants
46,BROGGER,Gurli Colorblocked Wool Trousers,$885,Pants
47,NSF,Sayde Floral Cotton Drawstring Sweatpants,$198,Pants
48,VIS Ā VIS,Leopard-Print Cotton Jogger Pants,$480,Pants
49,Valentino,Wool-Silk Crepe Wide-Leg Pants,"$1,290",Pants
50,NSF,Sayde Reverse French Terry Sweatpants,$198,Pants
51,NSF,Sayde Tie-Dyed Cotton French Terry Sweatpants,$225,Pants
52,Maison di Prima,Nancy Linen Flared Trousers,$890,Pants
53,Ben Taverniti Unravel Project,Drawcord-Detailed Cotton Cargo Pants,"$1,025",Pants
54,Nili Lotan,"""French Military"" Cotton Crop Pants",$325,Pants
55,Isabel Marant,Grayson Cotton Crop Wide-Leg Trousers,$460,Pants
56,Isabel Marant,Denlo Metallic Striped Trousers,$770,Pants
57,Balenciaga,Logo-Waist Crepe-Jersey Leggings,$915,Pants
58,Rag & Bone,Buckley Cotton Straight Chinos,$225,Pants
59,Ben Taverniti Unravel Project,Lace-Up Distressed Skinny Jeans,"$1,400",Pants
60,Sacai,Grosgrain-Trimmed Mixed-Media Trousers,$775,Pants
61,SPRWMN,Striped Stretch-Lambskin Crop Leggings,"$1,275",Pants
62,ATM Anthony Thomas Melillo,Distressed Slim Crop Cargo Trousers,$295,Pants
63,ATM Anthony Thomas Melillo,Boyfriend Crop Trousers,$295,Pants
64,PT01,Jaine Cotton-Blend Crop Flared Trousers,$425,Pants
65,L'Agence,Dee Button-Detailed Slub Linen Sailor Pants,$265,Pants
66,Sies Marjan,Anouk Striped Wide-Leg Trousers,"$1,095",Pants
67,Dries Van Noten,Cotton Poplin Pleated Jogger Pants,$550,Pants
68,Rick Owens DRKSHDW,Cotton Wide-Leg Tear-Away Jogger Pants,$915,Pants
69,Maison Margiela,Cotton-Blend Brocade Slim Five-Pocket Trousers,"$1,380",Pants
70,LES COYOTES DE PARIS,Victoria Wool-Blend Wide-Leg Trousers,$440,Pants
71,ATM Anthony Thomas Melillo,Cotton French Terry Sweatpants,$185,Pants
72,Officine Générale,Louise Cotton-Linen Slub-Twill Trousers,$295,Pants
73,Derek Lam 10 Crosby,Striped Compact Knit Wide-Leg Pants,$495,Pants
74,Givenchy,Crepe Carrot-Leg Trousers,"$1,430",Pants
75,Officine Générale,Marion Satin-Trimmed Wool Plain-Weave Trousers,$380,Pants
76,The Row,Hayden Geometric-Pattern Silk Harem Pants,"$1,720",Pants
77,Derek Lam 10 Crosby,Colorblocked Crepe Wide-Leg Pants,$495,Pants
78,Valentino,Tapered Wool-Blend Belted Pants,"$1,100",Pants
79,Rick Owens,Jersey Drop-Rise Drawstring Pants,$645,Pants
80,Versace,Floral High-Waist Leggings,$795,Pants
81,Helmut Lang,Leather Straight Pants,"$1,550",Pants
82,J.W.Anderson,Striped Jacquard Wide-Leg Cuffed Trousers,$850,Pants
83,A.L.C.,Elijah Snake-Print Jogger Pants,$425,Pants
84,Officine Générale,Leonie Pinstriped Wool Twill Trousers,$440,Pants
85,Sacai,Striped Cotton-Blend Pajama-Style Pants,$695,Pants
86,Jil Sander,Canvas Drop-Rise Pants,$840,Pants
87,Saint Laurent,Virgin Wool Pleated High-Rise Crop Trousers,"$1,290",Pants
88,Faith Connexion,Belted Silk Cargo Pants,"$1,225",Pants
89,FRAME,Pleated Twill Harem Pants,$275,Pants
90,A_PLAN_APPLICATION,Cotton Terry Cigarette Pants,$475,Pants
91,Mason's,Studded Cotton-Blend Slim Crop Pants,$255,Pants
92,Helmut Lang,Stretch Leather Leggings,$920,Pants
93,Derek Lam,Georgia Stretch-Jersey Wide-Leg Trousers,$795,Pants
94,Barneys New York,Lambskin Straight-Leg Trousers,"$1,395",Pants
95,Rag & Bone,Simone Crop Skinny Pants,$295,Pants
96,J Brand,Leather Leggings,$948,Pants
97,Barneys New York,Stretch-Wool Crop Trousers,$395,Pants
98,J Brand,811 Mid-Rise Skinny Leather Pants,$998,Pants
99,Derek Lam,Tech-Jersey Flared Trousers,$750,Pants
100,The Row,Essentials Franklin Pants,$790,Pants
101,Paco Rabanne,Logo-Waistband Leggings,$260,Pants
102,Barneys New York,Cashmere Crop Pants,$595,Pants
103,Saint Laurent,Wool Tuxedo Crop Pants,$990,Pants
104,Derek Lam 10 Crosby,Stretch-Cotton Flare Pants,$345,Pants
105,Derek Lam 10 Crosby,Stretch-Cotton Crop Flared Pants,$325,Pants
106,Derek Lam 10 Crosby,Stretch-Cotton Crop Flared Pants,$325,Pants
107,Lisa Perry,Leather Crop Flared Pants,"$1,095",Pants
108,Saint Laurent,Virgin Wool Tailored Trousers,$990,Pants
109,Barneys New York,Stretch-Wool Flat-Front Crop Trousers,$395,Pants
110,Philosophy di Lorenzo Serafini,Studded Ponte Leggings,$595,Pants
111,Barneys New York,Twill Trousers,$395,Pants
112,D-ANTIDOTE,Wool-Blend High-Rise Baggy Trousers,$525,Pants
113,Live the PROCESS,Tech-Jersey Track Pants,$198,Pants
114,Derek Lam,Drake Leather Crop Pants,"$1,990",Pants
115,Nili Lotan,Hampton Cotton Crop Trousers,$325,Pants
116,Derek Lam 10 Crosby,Cotton Crop Flared Pants,$325,Pants
117,Rag & Bone,Simone Ponte Cigarette Pants,$295,Pants
118,Lisa Perry,Ponte Crop Flared Pants,$450,Pants
119,The Row,Helda Scuba Pants,$690,Pants
120,LoboRosa,Amazonia Leaf-Print Pajama Pants,$175,Pants
121,CALVIN KLEIN 205W39NYC,Virgin Wool Twill Trousers,$790,Pants
122,RE/DONE,Cotton Twill Crop Cargo Pants,$250,Pants
123,Regulation Yohji Yamamoto,Cutout Linen Crop Pants,$850,Pants
124,LoboRosa,Micos Monkey-&-Floral Satin Pants,$175,Pants
125,Zero + Maria Cornejo,Tin Tech-Twill Wide-Leg Pants,$795,Pants
126,Lisa Perry,Crop Wide-Leg Trousers,$595,Pants
127,Sies Marjan,Bexley Satin Crop Pants,$695,Pants
128,Sies Marjan,Tatum Satin Straight Pants,$695,Pants
129,Saint Laurent,Wool Slim Trousers,$900,Pants
130,The Row,JR Stretch-Silk Wide-Leg Pants,$850,Pants
131,Isabel Marant Étoile,Dario Striped Track Pants,$415,Pants
132,Isabel Marant Étoile,Dobbs Striped Track Pants,$395,Pants
133,Isabel Marant Étoile,Noah Checked Cotton-Blend Crop Trousers,$355,Pants
134,Nili Lotan,East Hampton Leather Slim Pants,"$1,295",Pants
135,Alexander Wang,Button-Detail Houndstooth Trousers,$695,Pants
136,Juan Carlos Obando,Velvet Five-Pocket Trousers,"$1,195",Pants
137,Derek Lam,Drake Crepe Slim Ankle Trousers,$750,Pants
138,Ulla Johnson,Rhett Velvet Wide-Leg Pants,$495,Pants
139,Rag & Bone,Simone Checked Cotton-Blend Pants,$295,Pants
140,RE/DONE,Embroidered Cotton French Terry Sweatpants,$195,Pants
141,Prada,Logo-Waist Stretch-Twill Leggings,$920,Pants
142,L'Agence,Solana Velvet Flared Pants,$245,Pants
143,ATM Anthony Thomas Melillo,Silk Charmeuse Sweatpants,$275,Pants
144,Barneys New York,Cotton-Cashmere Drawstring Pants,$270,Pants
145,Lisa Perry,Ponte Crop Wide-Leg Trousers,$595,Pants
146,Palm Angels,Logo Velour Track Pants,$460,Pants
147,Helmut Lang,Stretch-Cotton Stirrup Pants,$345,Pants
148,LoboRosa,Bird- & Floral-Print Satin Pajama Pants,$175,Pants
149,CALVIN KLEIN 205W39NYC,Checked Wool Pleated Trousers,$890,Pants
150,Lisa Perry,Crepe Wide-Leg Trousers,$650,Pants
151,A.L.C.,Harrison Velvet Trousers,$345,Pants
152,Masscob,Beaumont Velvet Flat-Front Trousers,$500,Pants
153,Zero + Maria Cornejo,One-Seam Bonded Scuba Pants,$650,Pants
154,LES COYOTES DE PARIS,Janis Cotton High-Waist Trousers,$415,Pants
155,Chloé,Split-Front Wool Gabardine Flared Pants,"$1,095",Pants
156,Barneys New York,Herringbone Crop Flared Trousers,$450,Pants
157,RE/DONE,Cotton Twill Cargo Pants,$260,Pants
158,Prada,Worsted Wool Pleated Trousers,$920,Pants
159,RE/DONE,Denim Cargo Trousers,$250,Pants
160,Prada,Ruffle Crepe Crop Pants,$960,Pants
161,Prada,Twill Slim Trousers,$740,Pants
162,J Brand,Orla Bonded Jersey Leggings,$298,Pants
163,Helmut Lang,High-Rise Trousers,$415,Pants
164,Isabel Marant Étoile,Docia Striped Track Pants,$425,Pants
165,OSMAN,Felix Satin-Back Crepe Flounce Pants,$670,Pants
166,Area,Lamé Flared Trousers,$650,Pants
167,A.L.C.,Romeo Cotton Twill Pants,$345,Pants
168,A.L.C.,Harrison Leopard-Print Velvet Trousers,$365,Pants
169,Raquel Allegra,Tie-Dyed Cotton-Silk Drawstring Sweatpants,$455,Pants
170,Opening Ceremony,Gingham Cotton-Blend Crop Trousers,$350,Pants
171,Victoria Beckham,Virgin Wool Twill Flared Trousers,"$1,175",Pants
172,Victoria Beckham,Worsted Wool Flared Trousers,$770,Pants
173,Rag & Bone,Gambles Cargo Pants,$450,Pants
174,Pas de Calais,Basket-Weave Linen Tapered Trousers,$360,Pants
175,Rag & Bone,Simone Checked Cotton-Blend Pants,$295,Pants
176,ATM Anthony Thomas Melillo,Camouflage Cotton Slim Cargo Pants,$295,Pants
177,ATM Anthony Thomas Melillo,Metallic-Knit Wool-Blend Pants,$495,Pants
178,NSF,Neko Canvas Jogger Pants,$250,Pants
179,THE GIGI,Sonia Pipe-Trimmed Checked Trousers,$470,Pants
180,NSF,Julian Piqué Cotton Tear-Away Pants,$225,Pants
181,NSF,Jessa Piqué Cotton Crop Pants,$248,Pants
182,Area,Drew Embellished Leather Crop Flared Pants,"$1,250",Pants
