,Brand,Product_Name,Price,Category
0,Denis Colomb,Malibu Tie-Dyed Slub Cashmere-Silk Flannel Scarf,$795,Scarves
1,Dries Van Noten,Oversized-Floral-Pattern Silk Organza Scarf,$575,Scarves
2,Dries Van Noten,Abstract-Pattern Silk-Blend Scarf,$685,Scarves
3,Dries Van Noten,Striped Silk Chiffon Scarf,$575,Scarves
4,Barneys New York,Clea Gradient Cashmere-Silk Stole,$895,Scarves
5,Barneys New York,Alix Dégradé Houndstooth Cashmere-Silk Stole,$995,Scarves
6,Faliero Sarti,Pretty Doll Wool-Blend Scarf,$395,Scarves
7,Avant Toi,Juta Floral Silk-Blend Foulard & Cashmere-Silk Scarf,$995,Scarves
8,SCBMI,Rabbit Fur Muffler,$275,Scarves
9,Saint Laurent,Paisley-Print Cashmere-Silk Scarf,$595,Scarves
10,Saint Laurent,Bandana-Print Cashmere-Silk Scarf,$795,Scarves
11,Burberry,Silk Twill Scarf,$780,Scarves
12,Burberry,Logo Silk Twill Scarf,$400,Scarves
13,Burberry,Unicorn-Print Silk Twill Scarf,$400,Scarves
14,Burberry,Fawn-Fur-Print Cotton-Silk Scarf,$350,Scarves
15,Ottotredici,Enrico Zibra-Print Gauze Scarf,$450,Scarves
16,Ottotredici,Alessandro Floral Gauze Scarf,$595,Scarves
17,Versace,Baroque-Print Silk Scarf,$495,Scarves
18,Denis Colomb,Nara Plaid Cashmere Flannel Blanket Scarf,"$1,195",Scarves
19,Denis Colomb,Froisse Tie-Dyed Silk Gauze Scarf,$325,Scarves
20,Denis Colomb,Sahara Checked Slub Linen Gauze Scarf,$395,Scarves
21,Denis Colomb,Targa Plaid Cashmere Gauze Scarf,$495,Scarves
22,From The Road,Atala Cashmere Gauze Scarf,$595,Scarves
23,Barneys New York,Fox Fur Scarf,$995,Scarves
24,Off-White c/o Virgil Abloh,Plaid Virgin-Wool-Blend Blanket Scarf,$375,Scarves
25,Barneys New York,Plaid Cashmere-Blend Scarf,$325,Scarves
26,Valentino Garavani,Pansy-Knit Wool-Blend Scarf,$895,Scarves
27,Valentino,Logo-Print Silk Scarf,$525,Scarves
28,Valentino,Logo-Print Silk Scarf,$525,Scarves
29,Saint Laurent,Logo-Leopard-Print Cashmere-Silk Scarf,$795,Scarves
30,Barneys New York,Felted Cashmere Scarf,$695,Scarves
31,LILLY e VIOLETTA,Limited Edition Fox Fur Stole,"$1,600",Scarves
32,Denis Colomb,Tie-Dyed Cashmere-Silk Scarf,$795,Scarves
33,Sies Marjan,Este Gradient Mink Scarf,"$1,995",Scarves
34,Denis Colomb,Tie-Dyed Silk-Cashmere Scarf,$475,Scarves
35,Balenciaga,Logo Wool Scarf,$695,Scarves
36,Rick Owens,Cashmere Blanket Scarf,"$1,740",Scarves
37,Rick Owens,Cashmere-Silk Gauze Scarf,$780,Scarves
38,Rick Owens,Cashmere-Silk Gauze Scarf,$780,Scarves
