,Brand,Product_Name,Price,Category
0,Alaïa,Studded Laser-Cut Leather Sandals,"$1,490",Shoes
1,Christian Louboutin,Suzi Leather Ankle Boots,"$1,195",Shoes
2,ALEVÌ Milano,Alice Leather & PVC Pumps,$895,Shoes
3,GIANNICO,Daphne Denim Mules,$685,Shoes
4,Jil Sander,Leather Platform Sandals,$750,Shoes
5,Dries Van Noten,Ankle-Tie Mules,$700,Shoes
6,Givenchy,Elegant Studded Leather Ankle Boots,"$1,395",Shoes
7,Manolo Blahnik,Ratib Watersnake Sandals,$845,Shoes
8,Balenciaga,Logo Leather Ankle-Wrap Sandals,$695,Shoes
9,Gianvito Rossi,Denim Ankle Boots,$995,Shoes
10,adidas,Women's Arkyn Sneakers,$140,Shoes
11,SAMUELE FAILLI,Alexandra Suede Sandals,$700,Shoes
12,Chloé,Crisscross-Strap Leather Sandals,$675,Shoes
13,Christian Louboutin,Decollete 554 Patent Leather Pumps,$775,Shoes
14,Manolo Blahnik,Agavria Suede Mules,$825,Shoes
15,Manolo Blahnik,Maysale Suede Mules,$745,Shoes
16,Barneys New York,Crocodile-Stamped Leather Sandals,$325,Shoes
17,Christian Louboutin,So Kate Patent Leather Ankle Boots,"$1,295",Shoes
18,Givenchy,Logo-Heel Leather Mules,$875,Shoes
19,Golden Goose,Bretagne Suede Ankle Boots,$760,Shoes
20,Alaïa,Studded Laser-Cut Specchio Leather Slide Sandals,"$1,035",Shoes
21,Saint Laurent,Women's Bedford Leather Sneakers,$695,Shoes
22,Prada,Women's Tech-Fabric & Suede Sneakers,$740,Shoes
23,Off-White c/o Virgil Abloh,Women's Off-Court Leather & Canvas Sneakers,$785,Shoes
24,Christian Louboutin,So Kate Glitter-Striped Ankle Boots,"$1,295",Shoes
25,Christian Louboutin,Multipot Leather Sandals,$945,Shoes
26,Saint Laurent,Tribute Leather Platform Sandals,$925,Shoes
27,Valentino Garavani,Stretch-Leather Ankle Boots,$995,Shoes
28,Manolo Blahnik,Allurasa Jacquard Slingback Pumps,$745,Shoes
29,Gianvito Rossi,Leopard-Print Suede & Satin Sandals,$845,Shoes
30,Gianvito Rossi,Anna Leather Slingback Pumps,$695,Shoes
31,Gianvito Rossi,Suede & PVC Mules,$695,Shoes
32,Saint Laurent,Opyum Patent Leather Pumps,$995,Shoes
33,The Row,Gloria Leather Ankle Boots,"$1,250",Shoes
34,Givenchy,Women's Mixed-Material Sneakers,$825,Shoes
35,The Row,Coco Leather Mules,$795,Shoes
36,The Row,Bourgeoise Leather Slingback Pumps,$850,Shoes
37,Saint Laurent,Mica Suede Ankle-Strap Sandals,"$1,095",Shoes
38,Saint Laurent,Embellished Suede Mules,$995,Shoes
39,Christian Louboutin,Pigalle Follies Patent Leather Pumps,$695,Shoes
40,Valentino Garavani,Rockstud Leather Ankle-Strap Pumps,"$1,095",Shoes
41,Christian Louboutin,Choca Leather & Glitter Sandals,$845,Shoes
