,Brand,Product_Name,Price,Category
0,R13,Shredded Slouch Denim Cutoff Shorts,$365,Shorts
1,Denim x Alexander Wang,Denim Flip Cutoff Shorts,$245,Shorts
2,Dolce & Gabbana,Maiolica-Print Cotton Poplin High-Rise Shorts,$675,Shorts
3,alexanderwang.t,Logo Cotton-Blend Jersey Biker Shorts,$195,Shorts
4,J.W.Anderson,Curved-Hem Cotton Pleated Shorts,$560,Shorts
5,THE GIGI,Sofia Metallic-Knit Shorts,$370,Shorts
6,Maison Margiela,Voile Bermuda Shorts,"$1,290",Shorts
7,Prada,Tech-Jersey Bermuda Shorts,$840,Shorts
8,L'Agence,Alex Striped Linen-Cotton Paperbag Shorts,$295,Shorts
9,FRAME,Brigette Raw-Edge Cuffed Denim Shorts,$185,Shorts
10,RE/DONE,The '50s Military Twill Shorts,$225,Shorts
11,Dolce & Gabbana,Mixed-Print Cotton High-Rise Shorts,$745,Shorts
12,SPRWMN,Stretch-Lambskin Biker Shorts,$795,Shorts
13,Ksubi,Tongue N Cheek Distressed Denim Shorts,$170,Shorts
14,R13,Beaded-Floral & Leopard-Print Faille Shorts,"$1,295",Shorts
15,J Brand,Gracie Denim Cutoff Shorts,$178,Shorts
16,Rag & Bone,Buckley Cotton Chino Shorts,$185,Shorts
17,Sacai,Oversized Slub-Weave Shorts,$630,Shorts
18,Isabel Marant,Leather Cuffed Shorts,"$1,995",Shorts
19,Ben Taverniti Unravel Project,Zip-Around Denim Cutoff Shorts,$570,Shorts
20,R13,Cutout Hawaiian-Print Board Shorts,$395,Shorts
21,Saint Laurent,Embroidered Denim Shorts,"$1,990",Shorts
22,Off-White c/o Virgil Abloh,Knee-Length Denim Shorts,$610,Shorts
23,Isabel Marant,Orta Sequined High-Rise Shorts,$770,Shorts
24,VIS Ā VIS,Camouflage Cotton Cargo Shorts,$395,Shorts
25,Off-White c/o Virgil Abloh,Logo-Print Cutoff Denim Shorts,$535,Shorts
26,VIS Ā VIS,Stretch-Leather Biker Shorts,$595,Shorts
27,HIRAETH,Cotton Twill Shorts,$450,Shorts
28,Thom Browne,Exposed-Lining Wool Hopsack Shorts,$850,Shorts
29,LOEWE,Satin High-Rise Culottes,"$1,250",Shorts
30,3x1,Carter Cutoff Shorts,$188,Shorts
31,Maison Margiela,Kawaii-Print Knee-Length Shorts,$995,Shorts
32,Area,Leather Bike Shorts,$595,Shorts
33,Derek Lam 10 Crosby,Button-Detailed Cotton High-Rise Sailor Shorts,$325,Shorts
34,Area,Cotton-Blend Lamé Bike Shorts,$395,Shorts
35,Forte Dei Marmi Couture,Button-Detailed Bouclé Tweed High-Rise Shorts,$495,Shorts
36,Jil Sander,Suede Bike Shorts,"$1,790",Shorts
37,PLAN C,Sequined-Tulle Culottes,"$1,430",Shorts
38,PLAN C,Twill Flat-Front Shorts,$630,Shorts
39,alexanderwang.t,Cotton Fleece Basketball Shorts,$195,Shorts
40,alexanderwang.t,Logo Cotton-Blend Terry Shorts,$175,Shorts
41,Alaïa,Floral-Embroidered Cotton Canvas Shorts,"$1,195",Shorts
42,AKIRA NAKA,Rib-Knit Shorts,$560,Shorts
43,FRAME,Le Brigette Cutoff Shorts,$210,Shorts
44,FRAME,Le Vintage Bermuda Denim Shorts,$200,Shorts
45,3x1,Denim High-Rise Cuffed Shorts,$195,Shorts
46,3x1,Blake Distressed Denim Shorts,$225,Shorts
47,Chloé,Zip-Detailed Wool Shorts,"$1,250",Shorts
48,R13,Sequined Tie-Dyed Sweatshorts,$525,Shorts
49,Area,Sequined Silk-Blend Knit Bike Shorts,$395,Shorts
50,Rag & Bone,Justine Distressed Denim Shorts,$195,Shorts
51,R13,Tie-Waist Distressed Crossover Denim Shorts,$445,Shorts
52,R13,Fringed Leather Shorts,$795,Shorts
53,R13,Hawaiian-Print Boxer Shorts,$245,Shorts
54,Ksubi,Venom Denim High-Rise Cutoff Shorts,$190,Shorts
55,R13,Leopard-Print High-Rise Pleated Shorts,$365,Shorts
56,BLINDNESS,Pleated-Front Wool Twill Shorts,$595,Shorts
57,Paco Rabanne,Leopard-Print Satin Shorts,$510,Shorts
58,BROGGER,Ruffle-Trimmed Fil Coupé Shorts,$410,Shorts
59,BROGGER,Ruffle-Trimmed Crushed Ripstop Shorts,$410,Shorts
60,Balmain,Fringed Tweed High-Rise Shorts,"$1,995",Shorts
61,Fendi,Padded Jersey Bike Shorts,$550,Shorts
62,Saint Laurent,Denim Lace-Up Shorts,"$1,290",Shorts
63,MOUSSY VINTAGE,Hamilton Distressed Denim Shorts,$340,Shorts
64,MOUSSY VINTAGE,Kelley Distressed Denim Shorts,$230,Shorts
65,MM6 Maison Margiela,Tie-Dyed Cotton Oversized Drawstring Sweatshorts,$360,Shorts
66,Jordache,PVC-Pocket Cuffed Denim Shorts,$225,Shorts
67,RE/DONE,High Rise Levi's® Cutoff Shorts,$175,Shorts
68,RE/DONE,The Classic Embellished High-Rise Cutoff Shorts,$295,Shorts
69,J Brand,Denim Bermuda Shorts,$188,Shorts
70,Jean Atelier,Flip Denim Cutoff Shorts,$395,Shorts
71,Philosophy di Lorenzo Serafini,Pinstriped Cotton-Linen Cuffed Shorts,$450,Shorts
72,Nili Lotan,Mora Linen Shorts,$325,Shorts
73,GRLFRND,Helena Distressed Denim Cutoff Shorts,$148,Shorts
74,GRLFRND,Helena Distressed Denim Cutoff Shorts,$158,Shorts
75,Nili Lotan,Roxana Suede Pleated Shorts,$795,Shorts
76,WONE,Performance Jersey Bike Shorts,$125,Shorts
77,WONE,Tech Jersey Drawstring Shorts,$150,Shorts
78,alexanderwang.t.,Colorblocked Bike Shorts,$225,Shorts
79,Marine Serre,Logo Bike Shorts,$490,Shorts
80,Marine Serre,Logo Bike Shorts,$490,Shorts
81,Koché,Colorblocked Tech-Taffeta Track Shorts,$450,Shorts
82,Balmain,Striped Denim High-Waist Shorts,$950,Shorts
83,Balmain,Metallic Tweed High-Waist Shorts,"$1,350",Shorts
84,AMIRI,Double Waisted Denim Shorts,$550,Shorts
85,Zimmermann,Lace-Up Silk Shorts,$475,Shorts
86,Off-White c/o Virgil Abloh,Denim Cutoff Shorts,$475,Shorts
87,Jil Sander,Wool High-Waisted Shorts,$640,Shorts
88,Ksubi,Tongue N Cheek Distressed Denim Shorts,$190,Shorts
89,Heron Preston,Logo-Patch Cotton Shorts,$285,Shorts
90,Thom Browne,Wool Cuffed Shorts,$930,Shorts
91,Saint Laurent,Star-Print Denim Cutoff Shorts,$690,Shorts
92,Valentino,V-Ornament Silk-Wool Skort,"$1,490",Shorts
93,Officine Générale,Alma Suede Pleated Shorts,$815,Shorts
94,Area,Sequined Metallic Silk-Blend Bike Shorts,$395,Shorts
95,SIR The Label,Mariele Linen High-Waist Shorts,$260,Shorts
96,Land of Distraction,Leo Corduroy Shorts,$295,Shorts
97,3x1,Distressed Denim Cutoff Knee Shorts,$225,Shorts
98,Zimmermann,Orchid-Print Linen Shorts,$475,Shorts
99,JoosTricot,Brushed Stretch-Cashmere Shorts,$450,Shorts
100,Denim x Alexander Wang,Bite High-Rise Denim Cutoff Shorts,$200,Shorts
101,Denim x Alexander Wang,Bite High-Rise Denim Cutoff Shorts,$200,Shorts
102,R13,Distressed Denim Crossover Shorts,$365,Shorts
103,Isabel Marant,Kab Piqué Cotton-Linen Shorts,$460,Shorts
104,Isabel Marant Étoile,Liny Distressed Denim Shorts,$260,Shorts
105,Saint Laurent,Suede Shorts,"$2,290",Shorts
106,LoboRosa,Amazonia Jaguar-&-Banana-Leaf Satin Shorts,$115,Shorts
107,FRAME,Linen High-Rise Paperbag-Waist Shorts,$220,Shorts
108,Juan Carlos Obando,Washed Satin Shorts,$395,Shorts
109,FRAME,Mid-Rise Denim Shorts,$180,Shorts
110,Zimmermann,Floral Linen-Cotton Shorts,$375,Shorts
111,Prada,Tech-Twill Bermuda Shorts,$890,Shorts
112,Prada,Tech-Twill Bermuda Shorts,$890,Shorts
113,RE/DONE,High Rise Denim Cutoff Shorts,$175,Shorts
114,L'Agence,Ryland Denim Cutoff Shorts,$200,Shorts
115,Paco Rabanne,Metal Mesh High-Rise Shorts,"$3,890",Shorts
116,FRAME,Le Cut Off Denim Shorts,$180,Shorts
117,Denim x Alexander Wang,"""Hike"" Distressed Denim Shorts",$245,Shorts
118,FRAME,Le Cut Off Denim Shorts,$180,Shorts
119,GRLFRND,Cindy Denim Cutoff Shorts,$148,Shorts
120,RE/DONE,High Rise Denim Cutoff Shorts,$215,Shorts
121,GRLFRND,Cindy Cutoff Denim Shorts,$148,Shorts
122,L'Agence,Ryland Denim Cutoff Shorts,$198,Shorts
123,Moussy,Etna Distressed Denim Cutoff Shorts,$225,Shorts
124,Moussy,Leo High Waist Denim Cutoff Shorts,$245,Shorts
125,RE/DONE,Levi's® Denim Walking Shorts,$195,Shorts
126,3x1,W4 Carter Distressed Denim Cutoff Shorts,$198,Shorts
127,GRLFRND,Helena Distressed Denim Cutoff Shorts,$148,Shorts
128,Current/Elliott,Star-Print Boyfriend Shorts,$198,Shorts
129,Rag & Bone,Cut Off Denim Shorts,$175,Shorts
