,Brand,Product_Name,Price,Category
0,Fendi,Logo Cotton-Blend Miniskirt,$890,Skirts
1,Dolce & Gabbana,Leopard-Print Pencil Skirt,$995,Skirts
2,Fendi,Pleated Logo Silk Midi-Skirt,"$1,980",Skirts
3,Fendi,Logo Knit Midi-Skirt,$850,Skirts
4,Victoria Beckham,Rib-Knit Wool-Blend Pencil Skirt,$995,Skirts
5,VIVETTA,Manet Pleated Polka Dot Midi-Skirt,$670,Skirts
6,Needles,Patchwork Plaid Wool Wrap Skirt,$555,Skirts
7,Barneys New York,Leopard-Print Silk Matte Satin Skirt,$795,Skirts
8,FiveSeventyFive,Ruched Leopard-Print Midi-Skirt,$350,Skirts
9,Robert Rodriguez,Lace Pencil Skirt,$495,Skirts
10,Fendi,Checked Wool-Blend Pencil Skirt,"$1,790",Skirts
11,Isabel Marant Étoile,Zephi Faux-Leather Skirt,$265,Skirts
12,Saint Laurent,Pleated Silk Maxi Skirt,"$2,990",Skirts
13,Heron Preston,"""Handle With Care"" Leather Miniskirt",$940,Skirts
14,Helmut Lang,Crepe Blazer Skirt,$395,Skirts
15,Co,Floral Wool Gauze Midi-Skirt,"$1,125",Skirts
16,R13,Leopard-Print Denim Skirt,$365,Skirts
17,Missoni,Metallic Striped Long Skirt,"$1,455",Skirts
18,Helmut Lang,Grained Leather Miniskirt,$645,Skirts
19,Ksubi,Rap Denim Miniskirt,$170,Skirts
20,Robert Rodriguez,Leather Miniskirt,$695,Skirts
21,Philosophy di Lorenzo Serafini,Pleated Lamé Skirt,$795,Skirts
22,Barneys New York,Ruffle Floral Silk Skirt,$795,Skirts
23,Derek Lam 10 Crosby,Silk Chiffon Ruffle Miniskirt,$350,Skirts
24,Officine Générale,Flora Wrinkled Twill Miniskirt,$400,Skirts
25,Barneys New York,Wool Pencil Skirt,$450,Skirts
26,Versace,Harlequin-Print Pleated Silk Miniskirt,"$1,175",Skirts
27,Helmut Lang,Stretch-Leather Miniskirt,$645,Skirts
28,Barneys New York,Houndstooth A-Line Skirt,$450,Skirts
29,The Row,Oda Cashmere Maxi Skirt,"$1,790",Skirts
30,Prada,Contrast Godet Skirt,"$1,060",Skirts
31,Philosophy di Lorenzo Serafini,Pleated Leather Midi-Skirt,$990,Skirts
32,The Row,Vailen Pleated Crepe-Back-Satin Skirt,"$1,590",Skirts
33,RE/DONE,High Rise Levi's® Miniskirt,$250,Skirts
34,Derek Lam 10 Crosby,Floral Ruched Cotton Crepe Skirt,$395,Skirts
35,RE/DONE,High Rise Levi's® Miniskirt,$255,Skirts
36,Regulation Yohji Yamamoto,Pleated Cotton Canvas Skirt,$880,Skirts
37,Prada,Tech-Twill A-Line Skirt,$990,Skirts
38,Barneys New York,Wool-Silk Knit Godet Skirt,$495,Skirts
39,GRLFRND,Milla Denim Miniskirt,$158,Skirts
40,Fendi,Stitched Leather Pencil Skirt,"$3,550",Skirts
41,Balmain,Velvet Miniskirt,"$1,595",Skirts
42,Paco Rabanne,Metal Mesh Asymmetric Midi-Skirt,"$5,590",Skirts
43,The Row,Scuba Tech-Fabric Pencil Skirt,$350,Skirts
44,RE/DONE,High Rise Levi's® Miniskirt,$255,Skirts
45,GRLFRND,Eva Short A-Line Skirt,$158,Skirts
46,Paco Rabanne,Metal-Mesh Knee-Length Skirt,"$3,490",Skirts
47,R13,Distressed Leopard-Print Miniskirt,$365,Skirts
48,Barneys New York,Silk-Blend Lamé Wrap Midi-Skirt,$650,Skirts
49,Prada,Leather A-Line Skirt,"$2,110",Skirts
50,Pas de Calais,Pleated Satin Drawstring Skirt,$415,Skirts
51,Altuzarra,Zurina Pleated Tie-Dyed Skirt,"$1,295",Skirts
52,D-ANTIDOTE,Wool-Blend Belted High-Low Miniskirt,$420,Skirts
53,Fendi,Beaded Leather Miniskirt,"$6,500",Skirts
54,Barneys New York,Patch-Pocket Leather Skirt,"$1,195",Skirts
55,Barneys New York,Patch-Pocket Leather Skirt,"$1,195",Skirts
56,Altuzarra,Zurina Pleated Tie-Dyed Skirt,"$1,295",Skirts
57,The Row,Allesia Wool-Blend Skirt,"$1,490",Skirts
58,Thom Browne,Frayed Wool Miniskirt,"$1,500",Skirts
59,AKIRA NAKA,Coated Cotton Pleated Skirt,$870,Skirts
60,Barneys New York,Houndstooth A-Line Skirt,$450,Skirts
61,Heron Preston,"""Handle With Care"" Leather Miniskirt",$920,Skirts
62,The Row,Medela Silk Skirt,"$2,050",Skirts
63,The Row,Medela Silk Skirt,"$2,050",Skirts
64,Narciso Rodriguez,Wool Canvas Pencil Skirt,$895,Skirts
65,Palm Angels,Floral-Tape Pleated Miniskirt,"$1,075",Skirts
66,Prada,Tech-Gabardine Wrap-Front Skirt,$990,Skirts
67,alexanderwang.t,Knit Cotton Miniskirt,$275,Skirts
68,Balenciaga,Leather Pencil Skirt,"$2,550",Skirts
69,Helmut Lang,Studded Miniskirt,$395,Skirts
70,Maison Margiela,Pleated-Side Silk Crepe Skirt,"$1,470",Skirts
71,MANNING CARTELL,Open Season Leather Minskirt,$485,Skirts
72,Narciso Rodriguez,Virgin Wool Twill Skirt,"$1,250",Skirts
73,Masscob,Leopard-Print Velvet Midi-Skirt,$398,Skirts
74,MANNING CARTELL,Vertical Limit Pleated Tech-Satin Skirt,$425,Skirts
