,Brand,Product_Name,Price,Category
0,Gucci,GG0083S Sunglasses,$565,Sunglasses
1,Alain Mikli,Nadège Sunglasses,$410,Sunglasses
2,Thierry Lasry,Savvvy Sunglasses,$455,Sunglasses
3,Dior,"""LadyDiorStuds2"" Sunglasses",$495,Sunglasses
4,Oliver Peoples The Row,Parquet Sunglasses,$425,Sunglasses
5,Gucci,GG0356S Sunglasses,$505,Sunglasses
6,Dior,"""DiorStellaire1"" Sunglasses",$440,Sunglasses
7,Gucci,GG0357S Sunglasses,"$1,450",Sunglasses
8,Gucci,GG0356S Sunglasses,$505,Sunglasses
9,AHLEM,Place De La Madeleine Sunglasses,$470,Sunglasses
10,Oliver Peoples,Remick Sunglasses,$420,Sunglasses
11,Gucci,GG0360S Sunglasses,$580,Sunglasses
12,Gucci,GG0360S Sunglasses,$580,Sunglasses
13,Thierry Lasry,Sleepy Sunglasses,$450,Sunglasses
14,Finlay & Co.,Oswald Sunglasses,$210,Sunglasses
15,Thierry Lasry,Hedony Sunglasses,$400,Sunglasses
16,Finlay & Co.,Draycott Sunglasses,$265,Sunglasses
17,Balenciaga,Runway Sunglasses,$495,Sunglasses
18,Balenciaga,Runway Sunglasses,$495,Sunglasses
19,Celine,Rounded Cat-Eye Sunglasses,$440,Sunglasses
20,Celine,Oversized Square Sunglasses,$440,Sunglasses
21,Celine,Oversized Square Sunglasses,$400,Sunglasses
22,Celine,Square Sunglasses,$500,Sunglasses
23,Gucci,GG0361S Sunglasses,$465,Sunglasses
24,Komono,Billie Sunglasses,$120,Sunglasses
25,Saint Laurent,SL245 Sunglasses,$350,Sunglasses
26,Saint Laurent,SL245 Sunglasses,$350,Sunglasses
27,Celine,Geometric Sunglasses,$610,Sunglasses
28,Barton Perreira,Dalziel Sunglasses,$510,Sunglasses
29,Celine,Oversized Square Sunglasses,$740,Sunglasses
30,Dior,"""DiorNebula"" Sunglasses",$495,Sunglasses
31,Tomas Maier,Aviator Sunglasses,$260,Sunglasses
32,Tomas Maier,Aviator Sunglasses,$260,Sunglasses
33,Tomas Maier,Aviator Sunglasses,$260,Sunglasses
34,Karen Walker,Wanderlust Sunglasses,$220,Sunglasses
35,Karen Walker,Shipwrecks Sunglasses,$200,Sunglasses
36,Karen Walker,Castaway Sunglasses,$200,Sunglasses
37,Saint Laurent,SL 158 Sunglasses,$350,Sunglasses
38,Saint Laurent,SL 156 Sunglasses,$380,Sunglasses
39,Karen Walker,Castaway Sunglasses,$200,Sunglasses
40,Balenciaga,BA 85 Sunglasses,$430,Sunglasses
41,Balenciaga,BA 94 Sunglasses,$495,Sunglasses
42,Balenciaga,BA 85 Sunglasses,$430,Sunglasses
43,Givenchy,7117/S Sunglasses,$445,Sunglasses
44,ROBERI & FRAUD,Doris Sunglasses,$250,Sunglasses
