,Brand,Product_Name,Price,Category
0,The Row,Droi Brushed Cashmere-Blend Sweater,$890,Sweaters
1,Nili Lotan,Leyton Rib-Knit Cashmere Sweater,$625,Sweaters
2,Nili Lotan,Serinda Wool-Cashmere Turtleneck Sweater,$595,Sweaters
3,Fendi,Logo-Cuff Wool-Cashmere Turtleneck Sweater,"$1,190",Sweaters
4,Thom Browne,Two-Tone Rib-Knit Wool Cardigan,"$1,150",Sweaters
5,Fendi,Fendi Mania Crewneck Sweater,"$1,100",Sweaters
6,Barneys New York,Cashmere Turtleneck Cape,$695,Sweaters
7,Barneys New York,Rib-Knit Cashmere Cape,$695,Sweaters
8,Givenchy,Lettuce-Edge Tiered Sweater,"$1,690",Sweaters
9,Barneys New York,Cashmere Turtleneck Sweater,$650,Sweaters
10,Barneys New York,Striped Wool-Cashmere Sweater,$795,Sweaters
11,Comme des Garçons PLAY,Heart Wool Cardigan,$332,Sweaters
12,Moncler,Shearling-Trim Combo Sweater,"$1,145",Sweaters
13,Barneys New York,Cashmere Turtleneck Sweater,$650,Sweaters
14,Isabel Marant,Idol Mohair-Blend Oversized Sweater,$675,Sweaters
15,Isabel Marant,Ivah Wool-Blend Crop Sweater,$615,Sweaters
16,Rick Owens,Ribbed Sweater,$975,Sweaters
17,Moncler,Down-Quilted & Wool-Cashmere Sweater,$840,Sweaters
18,Barneys New York,Cable-Knit Cashmere Sweater,$795,Sweaters
19,Barneys New York,Colorblocked Cashmere Sweater,$450,Sweaters
20,Lisa Perry,Bolero Cardigan,$395,Sweaters
21,R13,Distressed Cashmere Sweater,$695,Sweaters
22,Barneys New York,Hooded Cashmere Sweater,$695,Sweaters
23,Moncler,Logo Wool-Cashmere Sweater,$700,Sweaters
24,Barneys New York,Cashmere Hooded Sweater,$695,Sweaters
25,Nili Lotan,Leyton Rib-Knit Cashmere Sweater,$625,Sweaters
26,Lisa Perry,Cashmere Crop Cardigan Sweater,$395,Sweaters
27,Rick Owens,Brushed Cashmere Wrap Cardigan,"$2,420",Sweaters
28,R13,Distressed Cashmere Sweater,$695,Sweaters
29,Comme des Garçons PLAY,Heart Striped Wool Sweater,$432,Sweaters
30,Comme des Garçons PLAY,Heart Wool Cardigan,$362,Sweaters
31,Rick Owens,Brushed Cashmere Wrap Cardigan,"$2,460",Sweaters
32,The Row,Minco Cashmere-Silk Crewneck Sweater,"$1,190",Sweaters
33,R13,Cashmere Boyfriend Sweater,$895,Sweaters
34,Rick Owens,Rib-Knit Wool Turtleneck Top,$615,Sweaters
35,Comme des Garçons PLAY,Heart Striped Wool Sweater,$395,Sweaters
36,Barneys New York,Pearl-Embellished Cashmere Sweater,$525,Sweaters
37,Acne Studios,Dramatic Wool Oversized Sweater,$340,Sweaters
38,Barneys New York,Cable-Knit Cashmere Cardigan,$850,Sweaters
39,Comme des Garçons PLAY,Heart Wool Cardigan,$332,Sweaters
40,Balenciaga,Logo Stretch-Wool Sweater,"$1,290",Sweaters
41,Comme des Garçons PLAY,Heart Wool Sweater,$312,Sweaters
42,The Row,Aetra Brushed Cashmere-Blend Sweater,$890,Sweaters
43,Barneys New York,Embellished Knit Cashmere Cardigan,$595,Sweaters
44,Barneys New York,Floral Cashmere Sweater,$595,Sweaters
45,Barneys New York,Floral Cashmere Sweater,$595,Sweaters
46,Acne Studios,Theda Oversized Sweater,$450,Sweaters
47,Rick Owens,Brushed Cashmere Wrap Cardigan,"$2,420",Sweaters
48,Balenciaga,Logo-Embroidered Wool Sweater,$950,Sweaters
49,Altuzarra,Button-Detailed Silk-Cotton Cardigan,$695,Sweaters
50,Altuzarra,Button-Detailed Silk-Cotton Cardigan,$695,Sweaters
51,Altuzarra,Tie-Dyed Silk-Cotton Sweater,$950,Sweaters
52,Altuzarra,Tie-Dyed Silk-Cotton Sweater,$950,Sweaters
53,The Row,Maley Cashmere Sweater,"$1,150",Sweaters
54,Prada,Fine Gauge-Knit Cashmere-Silk Sweater,$840,Sweaters
55,Co,Beaded Wool-Cashmere Cardigan,$895,Sweaters
56,Co,Ruffle-Neck Wool-Cashmere Sweater,$595,Sweaters
57,The Row,Steve Rib-Knit Wool Mock Turtleneck Sweater,"$1,190",Sweaters
