,Brand,Product_Name,Price,Category
0,Nili Lotan,Faye Cotton Poplin Blouse,$350,Tops
1,Balenciaga,World Food Progamme Cotton-Blend Hoodie,$790,Tops
2,Balenciaga,Logo Rib-Knit Hooded Top,"$1,390",Tops
3,Co,Floral Striped Silk Charmeuse Blouse,$675,Tops
4,Fendi,Rhinestone-Embellished Logo Cotton Sweatshirt,"$1,290",Tops
5,Ulla Johnson,Giles Velvet Blouse,$395,Tops
6,Raquel Allegra,Tie-Dyed Silk Blouse,$495,Tops
7,A.L.C.,Azalia Stud-Embellished Cotton Sweatshirt,$365,Tops
8,J Brand,Lucy Velvet & Silk Georgette Cami,$178,Tops
9,Chloé,Horse-Embroidered Silk Blouse,"$2,050",Tops
10,Current/Elliott,"""The Rolled Crew"" Linen-Cotton T-Shirt",$138,Tops
11,Barneys New York,Cotton Button-Down Shirt,$325,Tops
12,Acne Studios,Dorla T-Shirt,$100,Tops
13,Philosophy di Lorenzo Serafini,Ruffled Cotton V-Neck Top,$375,Tops
14,Maison Margiela,Classic Jersey Bodysuit,$295,Tops
15,Icons,Braided-Back Cotton T-Shirt,$195,Tops
16,Barneys New York,Striped Cotton Shirt,$325,Tops
17,VIVETTA,Embroidered Cotton Poplin Crop Top,$445,Tops
18,The Row,Essentials Cotton Crewneck T-Shirt,$320,Tops
19,MM6 Maison Margiela,Oversized Cotton Terry Sweatshirt,$295,Tops
20,Sies Marjan,Lysa Sleeveless Blouse,$695,Tops
21,Isabel Marant,Lamia Silk Crêpe De Chine Blouse,$710,Tops
22,Sies Marjan,Sander Silk-Cotton Corduroy Blouse,$695,Tops
23,Nili Lotan,Cotton Baseball T-Shirt,$125,Tops
24,L'Agence,Naomi Washed Silk Blouse,$375,Tops
25,Comme des Garçons PLAY,Heart Cotton Shirt,$258,Tops
26,Zero + Maria Cornejo,Jazmine Silk Blouse,$595,Tops
27,Givenchy,Logo Cotton Jersey T-Shirt,$565,Tops
28,Givenchy,Logo Cotton Jersey T-Shirt,$565,Tops
29,Area,Evita Crystal-Strap Velvet Cami,$395,Tops
30,Comme des Garçons PLAY,Logo Cotton T-Shirt,$98,Tops
31,Comme des Garçons PLAY,Heart Striped Cotton T-Shirt,$150 - $155,Tops
32,Chloé,Floral Lace Blouse,"$1,250",Tops
33,Barneys New York,Leopard-Print Silk Blouse,$595,Tops
34,Acne Studios,Yana Cotton Sweatshirt,$300,Tops
35,R13,Shredded Cotton Terry Hoodie,$395,Tops
36,ATM Anthony Thomas Melillo,Rib-Knit Long-Sleeve Bodysuit,$195,Tops
37,ATM Anthony Thomas Melillo,Ribbed Bodysuit,$195,Tops
38,Acne Studios,Stella Logo Cotton T-Shirt,$220,Tops
39,R13,Plaid Cotton Crop Work Shirt,$365,Tops
40,Barneys New York,Pima Cotton Crewneck T-Shirt,$70,Tops
41,Regulation Yohji Yamamoto,Smocked-Sleeve Cotton Tunic Shirt,$820,Tops
42,L'Agence,Nina Star-Print Silk Blouse,$325,Tops
43,Acne Studios,Fairview Emoji Cotton Sweatshirt,$240,Tops
44,ATM Anthony Thomas Melillo,Scoopneck Tank,$95,Tops
45,RE/DONE,1960s Slim Tee,$78,Tops
46,The Row,Linny Silk Jersey Tank,$890,Tops
47,The Row,Duni Stretch-Cady Top,"$1,390",Tops
48,WE ARE LEONE,Cotton Eyelet Maxi Cardigan Top,$570,Tops
49,The Row,Biggins Charmeuse Cami,$790,Tops
50,Saint Laurent,Sheer Silk Crepe Blouse,"$1,890",Tops
51,ROUCHA,Button-Back Charmeuse Blouse,$320,Tops
52,Narciso Rodriguez,Leather Sleeveless Top,"$1,995",Tops
53,Comme des Garçons PLAY,Heart Cotton T-Shirt,$98,Tops
54,Comme des Garçons PLAY,Heart Cotton T-Shirt,$98,Tops
55,Paco Rabanne,Logo Sports Bra,$120,Tops
56,NSF,Pepper Checked Cotton Flannel Oversized Shirt,$350,Tops
57,A.L.C.,Ali Compact Knit Crop Top,$195,Tops
58,ATM Anthony Thomas Melillo,Scoopneck Tank,$95,Tops
59,AKIRA NAKA,Wool-Silk Double-Breasted Vest,"$2,080",Tops
60,Saint Laurent,Silk-Blend Lamé Tieneck Blouse,"$3,290",Tops
61,NSF,Kimberly Buffalo-Checked Cotton Shirt,$295,Tops
62,RE/DONE,1960s Slim Tee,$78,Tops
63,The Row,Sisea Cady Blouse,"$1,090",Tops
64,Derek Lam,Striped Silk Crepe Blouse,$790,Tops
65,noir kei ninomiya,Floral-Appliquéd Cotton Button-Front Shirt,$560,Tops
66,ATM Anthony Thomas Melillo,Rib-Knit Tank Bodysuit,$175,Tops
67,RE/DONE,1960s Slim Tee,$78,Tops
68,RE/DONE,1950s Boxy Crop Tee,$78,Tops
69,Nili Lotan,NL Slub Cotton Shirt,$245,Tops
70,Maison Labiche,"""Bonjour Paris"" Cotton Fleece Sweatshirt",$130,Tops
71,Maison Labiche,"""Bonjour"" Cotton Fleece Sweatshirt",$125,Tops
72,Greg Lauren,Lodge Washed Wool Studio Shirt,$715,Tops
73,Derek Lam,Kara Silk Sleeveless Blouse,$590,Tops
74,Derek Lam,Kara Silk Crêpe De Chine Blouse,$690,Tops
75,Zimmermann,Floral Silk-Blend Blouse,$530,Tops
76,Alberta Ferretti,Silk Crêpe De Chine Top,$750,Tops
77,Juan Carlos Obando,Washed Satin Blouse,$795,Tops
78,CALVIN KLEIN 205W39NYC,Plaid Cotton-Blend Jacquard Asymmetric Top,$550,Tops
79,Juan Carlos Obando,Washed Satin Blouse,$795,Tops
80,NSF,Saguro Leopard-Print Cotton Sweatshirt,$165,Tops
81,RE/DONE,Cotton T-Shirt Bodysuit,$95,Tops
82,Saint Laurent,Striped Silk-Blend Lamé Blouse,"$1,590",Tops
83,Givenchy,Lace-Knit Crewneck Sweater,"$1,255",Tops
84,Fendi,"""Fendi Mania"" Cotton T-Shirt",$770,Tops
